Association Id,Association Name
27455,Queensland Football Redemption
27456,Queensland Camps & Clinics
27458,Australian Judo Association
27460,New Zealand Judo Association
27462,Park Towers Auskick Centre
27463,RMIT Sport (Social Sport)
27464,RMIT Sport (Community Comps)
27466,West Adelaide FC (T3) Auskick Centre
27469,Greenacres FC T1 Auskick Centre
27470,League Stars Sydney Metro 11
27471,League Stars Sydney Metro 12
27472,AFL Fiji
27474,Fiji School Competition
27475,Special Olympics - Basketball
27477,FDJFL Development Program
27478,SEJ Development Program
27479,Welcoming Tournaments
27480,Penrith (Kickability) Auskick Centre
27481,QLD Representatives
27482,South East Auskick
27483,South West Auskick
27484,South Central Auskick
27485,Midlands Auskick
27486,North West Auskick
27487,North East Auskick
27488,North Eastern Associated Schools (NEAS)
27489,Moore Park Beach AFC Auskick Centre
27490,Central Australia
27491,Rural
27492,Darwin
27493,East Arnhem
27494,Katherine
27495,Alice Springs
27496,Palmerston
27497,Barkly
27498,Darwin Rural
27499,West Arnhem
27500,Tiwi
27501,Capricornia
27502,Brisbane South - Inner West
27503,Brisbane North - Moreton Bay South
27504,Brisbane North - Moreton Bay North
27505,Gold Coast - Gold Coast North
27506,Brisbane South - Inner South
27507,Brisbane North - Inner North
27508,Cairns
27509,"Gold Coast - Logan "
27510,"Gold Coast - Gold Coast South "
27511,Brisbane North - North West
27512,Darling Downs
27513,Townsville
27514,Brisbane South - Ipswich-Gateway
27515,Western Queensland
27516,Brisbane South - South East
27517,Mackay
27518,Sunshine Coast-Wide Bay - Bundaberg
27519,Sunshine Coast-Wide Bay - Fraser Coast
27520,Sunshine Coast-Wide Bay - Sunshine Coast South
27521,Sunshine Coast-Wide Bay - Sunshine Coast North
27522,Cape York
27523,Northern Rivers
27524,Central District Country
27525,North Adelaide Metropolitan
27526,Woodville West Torrens Metropolitan
27527,Sturt Country
27528,Sturt Metropolitan
27529,Norwood Country
27530,West Adelaide Country
27531,Woodville West Torrens Country
27532,Norwood Metropolitan
27533,North Adelaide Country
27534,South Adelaide Metropolitan
27535,Central District Metropolitan
27536,West Adelaide Metropolitan
27537,Glenelg Country
27538,Glenelg Metropolitan
27539,South Adelaide Country
27540,North West
27541,North
27542,South
27543,East Fremantle
27544,Swan Districts
27545,Midwest
27546,Kimberley
27547,Claremont
27548,South West
27549,Subiaco
27550,Pilbara
27551,East Perth
27552,West Perth
27553,Midlands
27554,Perth
27555,Peel
27556,Wheatbelt
27557,Goldfields
27558,Great Southern
27559,South Fremantle
27560,Remote
27561,Canley Vale PS (After School) Auskick Centre
27562,Sawtell Beach (Beach) Auskick Centre
