Association Id,Association Name
24583,South Coast Hockey Club
24584,Zig Zag Hockey Club
24585,WorkMen's Club - Lithgow HA
24586,Jays Hockey Club
24587,Hotshots Hockey Club
24588,Teals Hockey Club
24589,Hornets Hockey Club
24590,Cruizers Hockey Club
24591,Macquarie Fields Hockey Club
24592,St Andrews Women's Hockey Club
24593,Varroville Hockey Club
24594,Camden Women's Hockey Club
24595,Campbelltown City Hockey Club
24596,Campbelltown Collegians Hockey Club
24597,Easts Hockey Club - Metro SWHA
24598,Harrington Park Hockey Club
24599,Ingleburn Bulldogs Hockey Club
24600,Macarthur Skylarks Hockey Club
24601,Mounties Hockey Club
24602,Wests Hockey Club - Metro SWHA
24603,Moorebank Liverpool District Hockey Club
24604,Oran Park Hockey Club
24605,Manning Valley Hockey Association
24606,Chatham Hockey Club
24607,Cundletown Hockey Club
24608,Great Lakes Strikers Hockey Club
24609,Sharks Hockey Club - Manning Valley HA
24610,Taree West Hockey Club
24611,Taree Tigers Hockey Club
24612,Town Hockey Club
24613,Wingham Hockey Club
24614,Gloucester Hockey Club
24615,Metro - Nepean HA
24616,Rangers Hockey Club - Nepean HA
24617,Blaxland Rovers Hockey Club
24618,Emu Plains Hockey Club
24619,Misfits Hockey Club
24620,Penrith Panthers Hockey Club
24621,Penrith RSL Hockey Club
24622,Richmond Women's Hockey Club
24623,Rooty Hill RSL Hockey Club
24624,Baulkham Hills Hockey Club - Nepean HA
24625,Cardiff Women's Hockey Club
24626,Central Hockey Club - Newcastle Hockey
24627,Eastlakes Hockey Club
24628,Norths Women's Hockey Club - Newcastle Hockey
24629,Novocastrian Ladies Hockey Club
24630,Oxfords Hockey Club
24631,Phantoms Hockey Club
24632,Regals Hockey Club
24633,South Ladies Hockey Club
24634,Toronto Workers Hockey Club
24635,Wests Ladies Hockey Club
24636,Y Hockey Club
24637,Newcastle Hockey
24638,Cardiff Men's Hockey Club
24639,Maitland
24640,South Newcastle Hockey Club
24641,Tigers Hockey Club
24642,University Hockey Club - Newcastle Hockey
24643,Wests Men's Hockey Club
24644,NCLE Grammar School
24645,Western Suburbs Newcastle Junior Hockey Club
24646,North Sydney Women's Hockey (Mosman Harbourside)
24647,Barker Old Girls Hockey Club
24648,Hornsby RSL Hockey Club
24649,Manly Women's Hockey Club
24650,Mirrabooka Hockey Club
24651,PLC Old Girls Hockey Club
24652,Warringah Hockey Club - Northern Sydney & Beaches HA
24653,Monte St Angelo Hockey Club
24654,North Sydney Girls High School
24655,Pymble Ladies College
24656,Presbyterian Ladies College
24657,Roseville College
24658,Willoughby Girls High School
24659,Loreto Normanhurst
24660,Loreto Kirribilli
24661,Abbotsleigh
24662,Barker College
24663,Glenaeon Rudolf Steiner School
24664,Brigidine College
24665,Manly Men's Hockey Club
24666,Gordon North Sydney Hockey Club
24667,Mosman Junior Hockey Club
24668,UTS Hockey Club
24669,Manly Juniors Hockey Club
24670,Blayney Hockey Club
24671,Canobolas Hockey Club
24672,Confederates Hockey Club
24673,Cyms Hockey Club
24674,Ex-Services Hockey Club
24675,Galahs Hockey Club
24676,Jaydees Hockey Club
24677,Molong Hockey Club
24678,Orange City Hockey Club
24679,Kinross Wolaroi School
24680,Orange Anglican Grammar School
24681,Waratahs Hockey Club - Orange HA
24682,Anglican Grammar School
