Association Id,Association Name
12849,Northern Ireland U21 Team
12850,Northern Ireland Team Administration
12851,Scotland U21 Team
12852,Scotland Team Administration
12853,Wales U21 Team
12854,Wales Team Administration
12855,Cook Islands U21 Team
12856,Cook Islands Team Administration
12857,Fiji U21 Team
12858,Fiji Team Administration
12859,New Zealand U21 Team
12860,New Zealand Team Administration
12861,Papua New Guinea U21 Team
12862,Papua New Guinea Team Administration
12863,Samoa U21 Team
12864,Samoa Team Administration
12865,Vanuatu U21 Team
12866,Vanuatu Team Administration
12867,Mid South Eastern Football League
12868,Associated & Catholic Colleges of WA touch
12870,Springvale & District Netball Association
12872,Western Australian Fencing Association
12873,Trans Tasman Open
12874,National Championships
12875,NZ Secondary Schools
12876,Northern IPS
12877,Central IPS
12878,Southern IPS
12879,Junior Nationals
12880,Youth Trans Tasman
12881,Turbo Touch Auckland
12882,Total Touch Wellington - City Lunch Time Touch
12883,Total Touch Wellington - Wakefield Park Touch
12884,Total Touch Wellington - Hutt Park Touch
12886,Touch Papamoa
12887,Palmerston North
12888,Seahawks Touch
12889,Kaipara
12890,Bowls Clubs - Website Request
12891,NW Sydney Womens Football TEST
12892,Associated & Catholic Colleges of WA Basketball
12894,AFL North Coast Juniors
12915,Water Polo Australia
12916,Ipswich Superbowl - Deleted
12918,Bateau Bay Tenpin
12919,Aspley
12920,Mt. Gravatt (please delete)
12921,Chermside Hyperbowl
12923,Burdekin Bowl
12924,Caboolture Bowl
12925,Gladstone Tenpin - Deleted
12927,Kingaroy Tenpin
12928,Kirwan Tenpin
12929,Maryborough Tenpin
12930,Mt Louisa Lanes - Deleted
12931,Mt Warren Lanes
12932,Suncity Bowl
12933,Devonport Tenpin
12934,AMF Launceston
12935,Morwell Tenpin
12936,AMF Cannington
12937,AMF Belconnen
12938,Dustbowl
12939,Planet Tenpin
12940,AMF Greenslopes - Deleted
12941,AMF Cannon Hill
12943,AMF Mt Gravatt
12944,Strathpine Hyperbowl
12945,Queensland Volunteers
12946,AMF Redcliffe
12948,AMF Kedron Bowl
12949,Go Bowling Ashmore
12950,Go Bowling Cairns
12951,Coolangatta Tweed Tenpin
12952,Garden City Lanes
12953,Gold Coast Superbowl - Deleted
12954,Gympie Tenpin
12955,Hervey Bay Tenpin
12956,INNISFAIL SUGARBOWL
12957,Mackay Centre
12958,Rockhampton Tenpin
12959,Toowoomba Sunset Bowl
12960,Albury Tenpin
12961,Dragon City Lanes
12962,Sunraysia Tenpin
12963,AMF Joondalup
12964,AMF Morley
12965,AMF Loganholme
12966,AMF Richlands
12967,Atherton Tableland Tenpin
12968,Bundy Bowl
12969,Logan City Tenpin
12971,Colac Bowl
12972,Oz Tenpin Geelong
12973,Twin Cities Tenpin
12974,Bunbury Tenpin
12978,MT ISA TENPIN
12979,AMF Moonah
12980,
12981,AMF Region - Deleted
