Association Id,Association Name
19227,Bunbury - Tuesday Night
19228,Touch Football WA Technical Courses
19230,Football South Coast Programs
19231,1st Pick Hoops
19232,A-League Test
19233,Woy Woy AFL 9s
19234,AFL NT events
19235,PTest Database
19239,Prospect PS (T3) Auskick Centre
19242,QLD Emergency Services Rugby League
19246,Queanbeyan PS (After School) Auskick Centre
19247,South Canberra (After School) Auskick Centre
19252,Dandenong Basketball Association - Rep
19254,Palmerston Auskick Centre
19256,AMF Liverpool
19258,Good Counsel Innisfail Auskick Centre
19259,Herberton State School Auskick Centre
19261,Good Shepherd Auskick Centre
19265,St Paul's Primary (Woodridge) Auskick Centre
19272,Perth Metro South Registered Athletes
19273,Perth Metro South Registered Volunteers
19274,Geham State School Auskick Centre
19275,Grantham State School Auskick Centre
19276,Lockrose State School Auskick Centre
19277,Mt Tyson State School Auskick Centre
19279,St Mary's Primary (Laidley) Auskick Centre
19283,Default Basketball Association Template
19284,Schoolboy Cup Competition
19285,St James Catholic Primary School (After School) Auskick Centre
19287,Old Paradians - Membership and Events
19288,Volleyball Victoria State League
19289,St Sebastian's (Yeronga) Auskick Centre
19291,Gepps Cross FC (T3) Auskick Centre
19293,Knox Basketball Association - Tryouts
19294,Wellcamp State School Auskick Centre
19295,Bonville PS (After School) Auskick Centre
19296,Coffs Harbour Community Christian School (After School) Auskick Centre
19297,Burwood PS (After School) Auskick Centre
19299,Bridge Road PS (After School) Auskick Centre
19302,Helensburgh Area Regional (After School) Auskick Centre
19303,Leichhardt Club Auskick Centre
19305,Hamilton Island  Auskick Centre
19308,Blackburn Vikings Basketball Association
19310,Australian Christian College Auskick Centre
19311,Grace Primary School Auskick Centre
19312,Southern Cross (Delany Campus) Auskick Centre
19313,Edensor Park PS (After School) Auskick Centre
19316,Good Shepherd Primary School (After School) Auskick Centre
19318,BVC Junior Domestic Championships
19319,Hammondville PS (After School) Auskick Centre
19320,Georges Hall PS (After School) Auskick Centre
19321,Mt Pritchard PS (After School) Auskick Centre
19323,Sacred Heart (Villawood After School) Auskick Centre
19324,Old Guildford PS (Before School) Auskick Centre
19325,St Brendans (After School) Auskick Centre
19326,Ourimbah PS (After School) Auskick Centre
19327,Warnervale (Hamlyn Terrace After School) Auskick Centre
19328,FV - Summer Sevens
19329,Red Hill - Payments
19330,BV Technical Officials
19331,Men of League - Events
19334,Herbert River Touch Association
19335,BVC Junior Country Basketball League
19337,Rouse Hill PS (After School) Auskick Centre
19338,Toongabbie West PS (Before School) Auskick Centre
19340,Hamilton State School Auskick Centre
19341,Eagle Junction State School Auskick Centre
19343,BVC Country Basketball League
19344,Mt Warrigal Primary (After School) Auskick Centre
19345,Woonona Primary School (After School) Auskick Centre
19346,Corrimal East Primary (After School) Auskick Centre
19347,Hayes Park Primary (After School) Auskick Centre
19348,Farmborough Road Primary (After School) Auskick Centre
19349,Mount Kembla (After School) Auskick Centre
19350,Minnamurra (After School) Auskick Centre
19351,Nareena Hills Primary (Before School) Auskick Centre
19352,Northern NSW Football - Events
19355,Wollongong (Girls) Auskick Centre
19356,Northern Illawarra (Junior Girls) Auskick Centre
19358,Southern Illawarra (Girls) Auskick Centre
19359,Sandy Beach PS (After School) Auskick Centre
19360,Bishop Druitt College (After School) Auskick Centre
19363,Dandenong South Primary School (After School) Auskick Centre
19365,Molong Central School (After School) Auskick Centre
19366,Blayney (After School) Auskick Centre
19368,Liverpool FC Supporters Club of NSW
19371,Lauderdale Football Club - Events
19372,Holy Family Catholic (After School) Auskick Centre
19374,Killara PS (After School) Auskick Centre
19881,Hendra State School Auskick Centre
19909,Wideview PS (After School) Auskick Centre
19910,Illawarra Home School Auskick Centre
20025,Biggenden Touch Association
20026,WNBL Fan Database
20028,Elanora Heights PS (After School) Auskick Centre
20029,KickOff
20031,Ceduna Auskick Centre
20032,Gungahlin - Payments
20035,WA School Clinics
20040,League Stars Central Queensland 14
