Association Id,Association Name
14155,Queensland Lacrosse Association
14156,Altona Gators Basketball Club
14157,Ebenezer PS (After School) Auskick Centre
14160,Tyndale Christian School (After School) Auskick Centre
14164,Freemans Reach PS (After School) Auskick Centre
14170,LFBBS - IBAF
14171,VBSL - IBAF
14172,Basketball Development NZ
14173,New South Wales Ice Skating Association
14186,Northshore JAFC Auskick Centre
14193,Women's State League - Gladesville Ravens
14196,Paddington PS (After School) Auskick Centre
14199,Ringrose PS (After School) Auskick Centre
14201,Round Robin test
14202,Football Integration Development Association (FIDA)
14203,AFL Masters WA
14204,Woodville Magic Basketball Association (delete)
14205,Miller Park Tennis Club
14208,David Test Registration Form Database
14209,Far North West Sports League
14210,Sans Souci (After School) Auskick Centre
14212,United Gymnastics Academy
14213,Bowls Australia - Events
14214,World Village
14215,Maiden Gully Auskick Centre
14218,AFL Masters ACT
14219,Joulle Calisthenics Academy Inc.
14220,Alabama Community College Conference - IBAF
14221,All American Amateur Baseball Association - IBAF
14222,Amateur Athletic Union - IBAF
14223,American Amateur Baseball Congress - IBAF
14224,American Baseball Coaches Association - IBAF
14225,American Legion Baseball - IBAF
14226,Babe Ruth League - IBAF
14227,Baseball Softball UK - IBAF
14228,Boys & Girls Clubs of America - IBAF
14229,Capital Athletic Conference - IBAF
14230,Continental Amateur Baseball Association - IBAF
14231,Dixie Youth Baseball - IBAF
14232,St Josephs Primary School (Bundaberg) Auskick Centre
14233,St Marys Catholic Primary School (Bundaberg) Auskick Centre
14234,Bundaberg South State School Auskick Centre
14235,Moore Park State School Auskick Centre
14236,ACT Ice Skating Association
14237,South Australian Ice Skating Association
14238,Cairns Saints Football Club Auskick Centre
14239,Western Australian Ice Skating Association
14240,Figure Skating Association of Tasmania
14241,Ice Skating Queensland
14243,Ice Skating Australia - National Registration
14244,Mayfield East PS (After School) Auskick Centre
14246,Chifley PS (After School) Auskick Centre
14247,"Dizzy Dean Baseball, Inc. - IBAF"
14248,Removed
14249,"Removed "
14250,St Josephs Cloncurry Auskick Centre
14251,hoody's test site
14252,St Lukes Youth Group
14253,Ringwood Church of Christ - Youth Games
14254,Yarra/Ariels Netball Association
14255,Australia Calisthenic Database
14256,Victoria Calisthenic Database
14257,Merinda Calisthenic Association
14258,National
14259,Tasmania
14260,Victoria
14261,New South Wales
14262,Queensland
14263,South Australia
14264,Northern Territory
14265,Western Australia
14266,All States
14267,Queens Park (After School) Auskick Centre
14268,Heffron Park (After School) Auskick Centre
14269,Mahoney Park (After School) Auskick Centre
14271,Our Lady of the Rosary (Shelly Beach After School) Auskick Centre
14272,Manly (After School) Auskick Centre
14273,Pittwater (After School) Auskick Centre
14274,Newcastle West (After School) Auskick Centre
14275,Wirreanda PS (After School) Auskick Centre
14277,Singleton Heights PS (After School) Auskick Centre
14278,St Joseph's PS (Kilaben Bay After School) Auskick Centre
14279,James Demo
14280,Basketball WA transactions
14283,Sydney Junior Winter Cricket
14284,YOUR ASSOCIATION
14285,Canterbury Hockey Association
14286,Clontarf Beach State School Auskick Centre
14287,Bribie Island State School Auskick Centre
14288,North Lakes JAFC Auskick Centre
14289,Education and Training
14291,DEMO
14292,Fairfield 7/10 Split
14293,Cambridge Netball Centre
14294,National
14295,Rider's Division
14296,Tasmania
14297,Victoria
14298,New South Wales
14299,Queensland
