Association Id,Association Name
4080,AFL Cairns
4081,AFL Capricornia
4082,AFL Cairns Juniors
4083,North Geelong Auskick Centre
4084,St Josephs (Newtown) Auskick Centre
4087,Beverley Hills (Saturday) Auskick Centre
4088,Melton (Friday) Auskick Centre
4091,Frankston YCW Auskick Centre
4092,Calwell Swans Rookie (Ages 5 - 6) Auskick Centre
4095,Camden Haven Auskick Centre
4096,Inverell Auskick Centre
4097,Bentleigh Auskick Centre
4102,Heathmere Auskick Centre
4104,South West Football League
4105,Lower South West Football League
4107,Hurstbridge Auskick Centre
4108,Lalor Bloods Auskick Centre
4110,Southern Tasmania High School AFL (AFL Tasmania)
4111,St Monicas Primary School (After School) Auskick Centre
4112,Higgins Primary School (After School) Auskick Centre
4113,Latham (After School) Auskick Centre
4114,Isabella Plains (After School) Auskick Centre
4115,Blue Gum Community School (After School) Auskick Centre
4116,St Francis of Assisi Primary School (After School) Auskick Centre
4117,AFL Canberra
4121,North Haven FC Auskick Centre
4123,Port District FC Auskick Centre
4124,Portland FC Auskick Centre
4125,Riverdale PS Auskick Centre
4126,Rosewater FC Auskick Centre
4127,Coromandel Valley PS Auskick Centre
4133,Modbury FC Auskick Centre
4135,CMS Crows FC Auskick Centre
4138,VFL & NAB League
4139,Karingal Auskick Centre
4140,Northern Riverina FL
4142,Southern Football League (Tas)
4143,Thornlands State School Auskick Centre
4145,Carbrook State School Auskick Centre
4146,St Peter's Primary (Rochedale) Auskick Centre
4148,Currajong State School Auskick Centre
4149,Miallo State School Auskick Centre
4150,St Augustine's School (Mossman) Auskick Centre
4151,Shoalhaven Giants Auskick Centre
4152,Coolbinia Bomberettes Auskick Centre
4153,Anakie Auskick Centre
4154,Little River Auskick Centre
4155,Hockey Victoria Test
4156,Thurgoona Community Auskick Centre
4157,The Scots School Auskick Centre
4159,Volleyball SWOL Test
4160,AFL Mackay
4161,AFL Townsville
4162,AFL Darling Downs
4163,AFL Wide Bay
4164,Volleyball ACT
4165,Volleyball South Australia
4166,Volleyball Queensland
4167,Volleyball Victoria
4168,State Volleyball NSW
4169,Volleyball Northern Territory
4170,Volleyball Tasmania
4171,Volleyball Western Australia
4173,Macgregor Primary School (After School) Auskick Centre
4174,St Thomas the Apostle Primary School (After School) Auskick Centre
4175,Wanniassa (After School) Auskick Centre
4176,Lanyon (After School) Auskick Centre
4177,Forrest (After School) Auskick Centre
4178,Shoalhaven Heads PS (After School) Auskick Centre
4179,Greenwell Pt PS (After School) Auskick Centre
4180,Berry PS (After School) Auskick Centre
4181,St Marys (Milton) Auskick Centre
4182,East Nowra PS (After School) Auskick Centre
4184,Culburra (Holiday) Auskick Centre
4186,Callala (Holiday) Auskick Centre
4187,Falls Creek PS (After School) Auskick Centre
4188,Nowra PS (Primary After School) Auskick Centre
4189,Jervis Bay Christian School (After School) Auskick Centre
4190,Jervis Bay Primary School (After School) Auskick Centre
4192,Sanctuary Pt PS (After School) Auskick Centre
4193,Broulee PS (After School) Auskick Centre
4194,Moruya PS (After School) Auskick Centre
4196,Illaroo Road PS (After School) Auskick Centre
4197,Cobargo PS (After School) Auskick Centre
4199,St Bernards Primary School (After School) Auskick Centre
4200,St Georges Basin Primary School (After School) Auskick Centre
4201,Huskisson PS (After School) Auskick Centre
4202,Nowra Christian School (After School) Auskick Centre
4203,Nowra Hill School (After School) Auskick Centre
4204,Nowra Anglican College (After School) Auskick Centre
4206,Shoalhaven Anglican School (After School) Auskick Centre
4208,Lacrosse Victoria
4209,Maleny State School Auskick Centre
4215,Soccer Test
4221,Pooraka Primary T3 Auskick Centre
4222,Mount Cotton State School Auskick Centre
4224,Logan Reserve State School Auskick Centre
4225,St Thereses Primary (Cairns) Auskick Centre
4226,University of New South Wales Touch - Social
4227,Southport State School Auskick Centre
