Association Id,Association Name
14663,Glenden Community Auskick Centre
14664,Auckland Bowls
14665,Port Melbourne Colts - Club payments
14668,Three Springs Auskick Centre
14671,Aussie Hoops Demo
14672,Queensland Schools Rugby Union (QSRU)
14673,Victorian Schools Rugby Union (VSRU)
14674,NSW Schools Rugby Union (NSWSRU)
14675,SA Schools Rugby Union (SASRU)
14676,Tasmanian Schools Rugby Union (TSRU)
14677,ACT Schools Rugby Union (ACTSRU)
14678,Australian Schools Rugby Union (ASRU)
14679,Lloyd McDermott Rugby Development Team (ASRU)
14684,"NSWRL Conference Competitions "
14685,Regentville PS (After School) Auskick Centre
14686,Samuel Terry PS (After School) Auskick Centre
14687,Phillip Island and District Basketball Association
14688,Ched Towns Reserve (After School) Auskick Centre
14689,St Mary's North PS (After School) Auskick Centre
14690,Emu Plains PS (After School) Auskick Centre
14691,Mittigar Reserve (After School) Auskick Centre
14692,Wycliffe Christian School (After School) Auskick Centre
14693,Blaxland East PS (After School) Auskick Centre
14694,Kings Langley PS Auskick Centre
14699,South Bawron - Club Payments
14704,Ruse PS (After School) Auskick Centre
14706,Macquarie Fields PS (After School) Auskick Centre
14707,Appin PS (After School) Auskick Centre
14708,Ermington PS (After School) Auskick Centre
14709,Meadowbank PS (After School) Auskick Centre
14710,Arcadia (After School) Auskick Centre
14711,Northern Suburbs Touch Association
14718,Basketball ACT Aussie Hoops
14719,Blair State School Auskick Centre
14723,Peakhurst South PS (After School) Auskick Centre
14725,Malta Baseball - IBAF
14727,Bligh Park (After School) Auskick Centre
14728,Hilltop Road PS (After School) Auskick Centre
14729,Blaxcell Street PS (After School) Auskick Centre
14730,Yates Avenue PS (After School) Auskick Centre
14731,South Granville (After School) Auskick Centre
14732,Toongabbie West (After School) Auskick Centre
14733,Chisholm CPS (After School) Auskick Centre
14734,Windsor PS (After School) Auskick Centre
14735,Richmond North PS (After School) Auskick Centre
14736,Guildford West PS (After School) Auskick Centre
14737,Parramatta West (After School) Auskick Centre
14738,Baulkham Hills North PS (After School) Auskick Centre
14739,Winston Hills PS (After School) Auskick Centre
14740,Westmead (After School) Auskick Centre
14742,Chelsea (All Abilities All Access) Auskick Centre
14743,Italy Baseball - IBAF
14756,North Midlands Football League
14759,FBIA LiveStats Testing
14760,FIBA Oceania
14761,St Peters Capricornia Auskick Centre
14762,Gunnedah (After School) Auskick Centre
14763,Narrabri (After School) Auskick Centre
14765,NWSWF Test Member
14766," Placeholder Oceania Basketball"
14769,Auburn PS (After School) Auskick Centre
14774,Bankstown (After School) Auskick Centre
14776,Thornton PS (After School) Auskick Centre
14778,Belair PS (After School) Auskick Centre
14779,Glendore PS (After School) Auskick Centre
14780,Coromandel
14781,Coffs Harbour (Girls) Auskick Centre
14783,Malek Fahd Islamic School (After School) Auskick Centre
14785,North Rocks PS (After School) Auskick Centre
14786,Mary Immaculate (Eagle Vale After School) Auskick Centre
14793,St Euphemia PS (After School) Auskick Centre
14795,Thames
14796,Taupo
14797,Taumarunui
14798,Te Awamutu
14799,Waihi
14800,Paeroa
14801,Hauraki Plains
14802,Te Aroha
14803,Morrinsville
14804,Matamata
14805,Putaruru
14806,Tokoroa
14807,Otorohanga
14808,Maniapoto
14809,Eastern Waikato
14831,Parke State School Auskick Centre
14861,Hassall Grove Public School Inter School Primary
14876,Jamberoo PS (After School) Auskick Centre
14878,Team Poker Australia
14879,Merrigum Auskick Centre
14881,Team GWS - Payments database
14882,Venue Database
14883,Mt Sinai (After School) Auskick Centre
14884,Emanuel College (After School) Auskick Centre
14885,Moriah College (After School) Auskick Centre
14886,Penshurst West PS (Before School) Auskick Centre
14890,Bare Creek Trail Run
14891,Warwick Farm (After School) Auskick Centre
14892,South Bunbury Auskick Centre
