Association Id,Association Name
22145,Power Aussie Hoops
22146,Karama - Holiday Program
22147,Tomaree PS (After School) Auskick Centre
22149,Waratah Junior Leagues
22151,Primary School Sport Australia
22152,"Northern Conference "
22153,Centrals Conference
22154,Murray Farm PS (After School) Auskick Centre
22166,North Sydney (Girls) Auskick Centre
22167,St Marys CPS (Rydalmere After School) Auskick Centre
22174,Lane Cove (Girls After School) Auskick Centre
22175,Beacon Hill PS (After School) Auskick Centre
22176,Caversham JFC Auskick Centre
22177,Echuca Rockets Auskick Centre
22180,Noarlunga FC Auskick Centre
22181,delete
22183,2020 Emergency Services Games
22184,Counties Manukau
22186,Hockey World League 2014 Suva
22187,Nambucca Valley Netball Association
22194,Portland Basketball Junior South West Classic
22196,Central Districts Softball Association
22197,Gawler & Districts Softball Association
22198,Hills Softball Association
22199,Kangaroo Island Softball Association
22200,Mt Gambier Softball Association
22201,Port Pirie Softball Association
22202,Sunraysia Softball Association
22203,Softball South Australia Umpires Association
22204,Adelaide Competition
22205,Riverland Softball Association
22206,Northern Area Mens Softball Association
22209,Manly Warringah Netball Association
22210,TFA Test Database
22211,Futsal Leisure
22212,Tathra Six-A-Side Summer Competition
22213,Trans Tasman
22215,Capital Football - MiniRoos
22216,Royals Football Club - Other
22217,FFA Cup
22218,Other - MiniRoos
22221,Multisport School Holiday Program
22225,TIO Stadium Holiday Program
22230,Katherine AFL 9s
22231,Yarram Touch Association
22233,Men's Fastpitch SA Inc
22234,Mundubbera Touch Football Association
22235,CRLRA Development Squad
22237,WS Waikato Secondary Schools
22240,Dalyston and District Auskick Centre
22241,Tarneit Suns Auskick Centre
22247,H
22248,Harcourt Auskick Centre
22250,Sandhurst Auskick Centre
22251,NSW Game Development Staff
22252,QLD Game Development Staff
22253,Affiliated States Game Development Staff
22254,Office/Other Game Development Staff
22255,Muswellbrook
22258,Toowoon Bay
22259,Newcastle City
22260,Football NSW - MiniRoos
22261,Football Federation NT - MiniRoos
22262,Football Queensland - MiniRoos
22263,Football Federation SA - MiniRoos
22264,Football Federation Tasmania - MiniRoos
22265,Football Victoria - MiniRoos
22266,Football West - MiniRoos
22267,FFT - NPL
22268,Northern NSW Football - MiniRoos
22270,Hamilton Junior Tournament
22272,Colac Junior Tournament
22273,NTFL Umpires Association Events
22276,Accreditation
22278,ATHELSTONE - FAMILY - TUESDAY - SPRING COMPETITION
22279,Auckland Rugby League (Camps and Clinics)
22280,Houghton District FC Auskick Centre
22281,Cardinia Life Aussie Hoops
22282,Belyuen Aussie Hoops
22283,Newcastle & Hunter Rugby League
22285,Victorian College Championships
22286,Champions Cup
22287,St Francis Lockleys PS Auskick Centre
22288,Glenelg FC (All Girls) Auskick Centre
22289,Hughenden Touch Association
22291,Mildura Junior Tri State Tournament
22294,Ipswich Cats JAFC Auskick Centre
22295,Ipswich Cats JAFC (Brassall) Auskick
22296,Ipswich Eagles JAFC Auskick Centre
22297,Charters Towers Demons AFC Auskick Centre
22299,Tullawong State Auskick Centre
22300,Moreton Bay Lions AFC Auskick Centre
22304,NRL SA Spencer Gulf
22305,Rugby League Northland (Camps & Clinics)
22306,Yamba Basketball Association
22308,Mosman Swans Minikick
22310,Holy Family of Luddenham (After School) Auskick Centre
22312,Thomas Acres PS (After School) Auskick Centre
22313,St Andrews PS (After School) Auskick Centre
22316,Ash Road (After School) Auskick Centre
