Association Id,Association Name
27893,Hillston Swans After School Auskick Centre
27894,Western Province Touch Rugby
27895,Test WPTA
27896,Our Lady Help of Christians Primary School
27897,Casino Hockey Club
27898,Far North Coast Hockey Inc
27899,Garran (After School) Auskick Centre
27900,Mandurah Storm Touch Association
27901,Marsden Park AFL9s
27902,eCal Production Testing
27903,Crew Sports Basketball
27904,Merimbula AFL 9's
27905,Gore Hill AFL 9's
27906,Move It Aus Programs
27907,Move It Aus Redemption
27908,Donvale PS After School Auskick Centre
27909,Mitcham PS After School Auskick Centre
27910,Croydon PS After School Auskick Centre
27911,Chin Community Auskick Centre
27912,Central Coast Football
27913,Kimbe
27914,Bialla
27915,Good Samaritan Catholic College Auskick Centre
27917,Broome Recreation & Aquatic Centre - Netball
27918,Broome Recreation & Aquatic Centre - Floorball
27919,Broome Recreation & Aquatic Centre - Volleyball
27920,Broome Recreation & Aquatic Centre - Futsal
27921,Talasea
27922,Hoskins
27923,Kokopo
27924,Barrengarry Conference
27925,Gippsland Regional Sports Complex - Futsal & Soccer
27926,Gippsland Regional Sports Complex - Netball
27927,Gippsland Regional Sports Complex - Hockey
27928,Gippsland Regional Sports Complex - Basketball
27929,Albion Park Rail Ravens Auskick Centre
27930,Roaring 40's Mixed Competition
27931,Coomera AFL 9's
27932,Surf Coast Volleyball Association
27933,Easts Basketball League
27934,Orange Mixed AFL 9s Competition
27935,Gippsland Regional Sports Complex - Volleyball
27936,Rabaul
27937,Kavieng
27938,Namatanai
27939,Test Aspire Talent Pathway Programme
27940,East - Aspire Talent Pathway Programme
27941,East Midlands - Aspire Talent Pathway Programme
27942,Traeger Park T4 (Ages 3-5) Kinderkick Centres
27945,London - Aspire Talent Pathway Programme
27946,North East - Aspire Talent Pathway Programme
27947,North West - Aspire Talent Pathway Programme
27948,South - Aspire Talent Pathway Programme
27949,South East - Aspire Talent Pathway Programme
27950,South West - Aspire Talent Pathway Programme
27951,West Midlands - Aspire Talent Pathway Programme
27952,Yorkshire - Aspire Talent Pathway Programme
27953,INAS Global Games
27954,Auburn FC Summer Football
27955,Football Test
27956,North West Youth & Juniors League
27957,Diamond Valley AFL 9s
27958,St Anthonys (Dimbulah) Auskick Centre
27959,Daintree State School Auskick Centre
27960,"Lihir Island "
27961,Port Moresby Seniors
27962,PNG Central
27963,Paradise Foods Niukick Competition
27964,AFL Kerema
27965,Hagen
27966,AFL Daru
27967,Goroka
27968,AFLPNG Lae
27969,AFLPNG Madang
27970,AFLPNG Wewak
27971,Hounds Graceville Touch Association
27972,James Test Association
27973,James Wotherspoon Test
27974,Bankstown Liverpool Basketball
27975,Balgowlah Suns (Girls) Auskick Centre
27976,AFLX
27977,Membership & Competitions Demo
27978,3x3 Community Hustle QLD
27979,3x3 Community Hustle NSW
27980,3x3 Community Hustle ACT
27981,3x3 Community Hustle VIC
27982,3x3 Community Hustle TAS
27983,3x3 Community Hustle SA
27984,3x3 Community Hustle NT
27985,3x3 Community Hustle WA
27986,3x3 Community Hustle
27987,Walking Basketball QLD
27988,Walking Basketball NSW
27989,Walking Basketball ACT
27990,Walking Basketball VIC
27991,Walking Basketball TAS
27992,Walking Basketball SA
27993,Walking Basketball NT
27994,Walking Basketball WA
27995,Pro Futsal - South Australia
