Association Id,Association Name
27088,QPRC - Floorball
27089,QPRC - Netball
27090,QPRC - Volleyball
27091,QPRC - Indoor Cricket
27092,QPRC - Squash
27093,Somerset College (Term 3) Auskick Centre
27094,The University of Auckland
27095,Russell Vale PS (After School) Auskick Centre
27096,Punchbowl (After School) Auskick Centre
27097,Hawthorn Basketball Events
27098,Altona Lacrosse Club
27099,Williamstown Lacrosse Club
27100,LAHTH All Abilities Auskick Centre
27101,Tullamarine Indoor Pop Up Auskick Centre
27105,Hillcrest PS (T3) Auskick Centre
27106,Hillcrest PS (T3) Auskick Centre
27107,Brias 5's Futsal
27112,NSW Country RL Masters Events
27113,Northern Territory Masters Events
27114,Queensland Masters Events
27115,South Australia Masters Events
27116,Victoria Masters Events
27117,Western Australia Masters Events
27118,Turner PS (After School) Auskick Centre
27119,Pamerston PS (After School) Auskick Centre
27120,Romsey Netball Club
27121,BBNZ National Coaches
27122,Bendigo Lacrosse Club
27123,Camberwell Lacrosse Club
27124,Caulfield Lacrosse Club
27125,Chadstone Lacrosse Club
27126,Eltham Lacrosse Club
27127,Footscray Lacrosse Club
27128,Malvern Lacrosse Club
27129,MCC Lacrosse Club
27130,Melbourne University Lacrosse Club
27131,Brunswick Lacrosse Club
27132,Newport Ladies' Lacrosse Club
27133,Surrey Park Lacrosse Club
27134,Williamstown Women's Lacrosse Club
27135,Wyndham Lacrosse Club
27136,Burnside Lacrosse Club
27137,East Torrens Payneham Lacrosse Club
27138,Canberra Christian (After School) Auskick Centre
27139,Caroline Chisholm (After School) Auskick Centre
27140,Glenelg Lacrosse Club
27141," North Adelaide Lacrosse Club"
27142,Sturt Lacrosse Club
27143,West Torrens Lacrosse Club (Eagles Lacrosse Club)
27144,Wilderness Lacrosse Club
27145,Woodville Lacrosse Club
27146,Subiaco Lacrosse Club
27147,Bayswater Lacrosse Club
27148,Phoenix Lacrosse Club
27149,East Fremantle Lacrosse Club
27150,Wembley Lacrosse Club
27151,Wanneroo-Joondalup Lacrosse Club
27152,Alkimos Lacrosse Club
27153,St Thomas More's Auskick Centre
27154,Ince Rose Bridge
27155,Parramatta Lions Family Fun Day
27157,Wests Tigers Junior Touch Football
27158,Leongatha Basketball Tournaments
27161,Christ Church Grammar Auskick Centre
27162,Our Lady of Lourdes Primary Auskick Centre
27163,Queanbeyan (Indigenous) Auskick Centre
27164,Queanbeyan (Indigenous) Auskick Centre
27166,Bega (Holiday) Auskick Centre
27168,Marist (After School) Auskick Centre
27169,Leura Auskick Centre
27170,"Softball Vic DEMO "
27171,New South Wales Masters Events
27172,Wollondilly Shire Auskick Centre
27173,Wyong Lakes (All Abilities) Auskick Centre
27174,BBNZ National Volunteers
27175,Moranbah Touch
27176,Cannonvale State School Auskick Centre
27178,Christies Beach PS Auskick Centre
27179,East Hills PS (After School) Auskick Centre
27180,AFL Womens
27182,Wanneroo Joondalup Tee Ball Club
27183,Guilfoyle Park (After School) Auskick Centre
27186,St Georges Basin (After School) Auskick Centre
27187,Kangaroo Valley (After School) Auskick Centre
27189,Majura Primary School (After School) Auskick Centre
27190,Southern Cross Early Childhood (K-2 After School) Auskick Centre
27191,Seaford Rise PS (T3) Auskick Centre
27192,Lacrosse ACT
27193,Cronulla Community (Girls) Auskick Centre
27194,Brighton Bulldogs Summer Social
27195,Thurgoona (After School) Auskick Centre
27196,Albury PS (After School) Auskick Centre
27197,Trinity Anglican College (After School) Auskick Centre
27198,Deniliquin (Girls After School) Auskick Centre
27199,SportsTG Programs (Demo)
27200,Mount Druitt PS (After School) Auskick Centre
27201,Balgowlah North PS (After School) Auskick Centre
27202,Crookwell Community (After School) Auskick Centre
27205,Gymea North (After School) Auskick Centre
27206,Bonner (Before School) Auskick Centre
