Association Id,Association Name
17480,Newbridge Heights PS (After School) Auskick Centre
17481,William Clarke College (After School) Auskick Centre
17482,Burnside PS (After School) Auskick Centre
17483,Illawong PS (After School) Auskick Centre
17485,Beverly Hills (Before School) Auskick Centre
17486,Blakehurst (Before School) Auskick Centre
17487,South Coogee (After School) Auskick Centre
17489,Botany (After School) Auskick Centre
17490,Hobartville PS (After School) Auskick Centre
17491,Our Lady of Lourdes (Baulkham Hills After School) Auskick Centre
17492,Bert Oldfield PS (After School) Auskick Centre
17494,Rocky BB Test
17495,Oatlands District Football Association
17496,The Junction PS (After School) Auskick Centre
17498,Brighton-le-Sands (After School) Auskick Centre
17502,John Palmer PS (After School) Auskick Centre
17504,Ermington West PS (After School) Auskick Centre
17507,Assumption School (After School) Auskick Centre
17509,Bletchington PS (After School) Auskick Centre
17510,St Joseph's Primary School (Taree After School) Auskick Centre
17511,Binalong Park (After School) Auskick Centre
17516,Iluka PS (After School) Auskick Centre
17517,St Francis Xavier School (After School) Auskick Centre
17519,NSW Touch Events
17520,Bouldercombe State School Auskick Centre
17521,Abercorn State School (In School) Auskick Centre
17522,Alloway State School Auskick Centre
17523,Eastern Creek PS (After School) Auskick Centre
17524,Dandenong Basketball Association Inc.
17526,Affiliate Management Resource Initiative
17527,National Selectors
17529,Victorian Schools Touch Football League (VSTFL)
17530,South Gippsland Touch Association
17531,Warrnambool Touch Football
17533,West Wyalong Touch Association
17535,Test LB
17536,TEST MEMBER DATABASE
17537,SA Country High Performance
17538,St Phillips Christian College (After School) Auskick Centre
17540,Clarence Town PS (After School) Auskick Centre
17542,Mount St Josephs (After School) Auskick Centre
17545,Men of League - Tasmania
17546,Men of League - Overseas
17548,Melton Basketball Association
17550,BQ Aussie Hoops Centre
17551,"BQ Test Association "
17552,Basketball Test Database (DO NOT USE)
17553,Newcastle Netball Association
17554,Good Samaritan (After School) Auskick Centre
17556,Kempsey West PS (After School) Auskick Centre
17557,Carramar PS (After School) Auskick Centre
17558,Middleton Grange PS (After School) Auskick Centre
17559,St Johns Park PS (After School) Auskick Centre
17560,Bowls Australia - Victoria Locator
17561,NSWRL Major Competitions
17562,Far North Queensland Registered Athletes
17563,Far North Queensland Registered Volunteers
17564,Gladstone Registered Athletes
17565,Gladstone Registered Volunteers
17566,Test MSJFL
17567,Basketball.ldn
17568,Eastern Suburbs Futsal Club
17569,Late Applications - Media
17571,Palmerston Touch Association
17573,XLR8 Junior Touch
17574,Southwell Park Touch Football
17578,St. Clair Christmas Carnival
17579,2011 Oceania Pacific Cup
17583,Lajamanu Football League
17584,Maningrida Football League
17586,Indonesia Basketball Association
17588,"Bribie Island Touch Association "
17589,Denmark Basketball Federation 3x3
17590,"Childers Touch Association "
17591,"Clermont Touch Association "
17595,City of Penrith MCC
17596,Al Zahra College (After School) Auskick Centre
17598,Warilla (Girls) Auskick Centre
17599,Robinvale Aussie Hoops
17600,Trinity Catholic College (After School) Auskick Centre
17602,Coburg Districts Auskick Centre
17603,West Coburg Auskick Centre
17605,Pacific Valley Christian School (After School) Auskick Centre
17606,Balarang PS (After School) Auskick Centre
17607,Keiraville PS (After School) Auskick Centre
17608,Oak Flats PS (After School) Auskick Centre
17610,Officials SA
17611,Bathurst Touch Association
17612,Berry Juniors Touch Association
17613,Boorowa Touch Association
17661,St George Christian School
17662,St George Christian School (After School) Auskick Centre
17666,St Joachim's CPS (After School) Auskick Centre
17667,Olds Park (After School) Auskick Centre
17673,Culburra Touch Association
17676,Gilgandra Touch Association
17677,Balmain JRL payments
17678,ACT Motorcycle Club
17680,Hadfield Auskick Centre
17681,Essendon Stars Auskick Centre
