Association Id,Association Name
25556,Castlemaine Basketball Tournament
25557,Small Sided Sports - Basketball
25559,2017 World Masters Games
25560,Churchill State School Auskick Centre
25563,Hockey Victoria
25564,Hockey New South Wales
25566,Hockey Queensland
25567,Hockey South Australia
25568,Hockey Western Australia
25569,Blackburn Hookin2Hockey
25571,Dubbo Water Polo
25572,St Francis Clifton Auskick Centre
25573,Biddeston State School Auskick Centre
25575,RFL Match Officials
25576,Sydney Comets Basketball Tournament
25577,Our Lady of Mt Carmel Primary School (After School) Auskick Centre
25578,Townsville Hockey Association
25580,Mamre Anglican School (After School) Auskick Centre
25581,Basketball Australia Demonstration
25582,RFL Test Community League
25583,RFL Test Professional League
25584,Test Touch League Test
25585,RFL Test Touch Venue
25586,Horsham Basketball Tournament
25590,Christ The King Primary School (After School) Auskick Centre
25591,Mutch Park (After School) Auskick Centre
25592,Grays Point PS (Before School) Auskick Centre
25593,RFL Test School League
25594,RFL Qualifications
25595,RFL Welfare
25599,Merinda State School Auskick Centre
25600,Northern Beaches (Girls) Auskick Centre
25601,Sugar Coast Rugby League Referees Association
25602,Kwinana Touch Association
25603,Wagga Futsal
25604,CRL East Coast Dolphins Academy
25605,South Coast Board Riders
25606,West Gippsland Football Netball Competition
25608,Bolwarra PS (After School) Auskick Centre
25609,Kareela PS (After School) Auskick Centre
25610,Kangaroo Island Basketball Association
25611,Queensland High Performance
25614,CRL Bidgee Bulls Academy
25615,CRL Greater Northern Tigers Academy
25616,CRL Greater Southern Academy
25617,CRL Newcastle Rebels Academy
25618,CRL Western Rams Academy
25619,Maffra 9's
25620,Brisbane Roar School of Football
25621,Hambledon PS (After School) Auskick Centre
25622,Gladesville PS(After School) Auskick Centre
25624,Kurmond PS (After School) Auskick Centre
25626,Corporate Days
25627,Hockey Tasmania Hookin2Hockey
25628,Recwest Braybrook
25629,Orange Hockey Association
25631,Auburn Road Hockey
25632,Free Football Superclinic
25635,Port Macquarie Seaside Classic
25636,Matthew Pearce PS (After School) Auskick Centre
25637,Murray Magpies Auskick Centre
25638,Engadine West PS (Before School) Auskick Centre
25639,(OLD) France Leagues
25640,France Coaches
25641,France Auskick
25642,France Umpires
25643,Germany Auskick
25644,Germany Coaches
25645,(OLD) Germany Leagues
25646,Germany Umpires
25648,Maryborough Basketball Tournament
25651,Curtis Coast Netball Association
25652,Aspull Touch
25653,Batley Bulldogs Touch
25655,Bradford Bulls Foundation Touch
25656,Cadishead Touch
25657,Castleford Tigers Touch
25658,Catterick Touch
25659,Featherstone Touch
25661,Halifax Touch
25662,Huddersfield Giants Foundation Touch
25663,Hull FC Foundation Touch
25665,Clyde Auskick Centre
25666,RFL Professional Leagues
25667,Huntington Touch
25669,London Skolars Touch
25671,Mirfield Free Grammar Touch
25675,Oxford RL Inspires
25676,Rochdale Touch
25677,Salford Touch
25678,Scarborough Touch
25679,Scunthorpe Touch
25681,Sheffield Eagles Touch
25682,Sherwood Wolf Touch
25684,Telford Raiders Touch
25685,Touch Rugby Kent
25686,Wakefield Wildcats Foundation
25687,Warrington Wolves - Broomfields
25688,Warrington - Latchford
25689,Warrington Wolves - Victoria Park
