Association Id,Association Name
26696,Denmark Auskick
26697,Denmark Umpires
26698,Estonia Leagues
26699,Estonia Auskick
26700,Estonia Coaches
26701,Estonia Umpires
26702,Finland AFL
26703,Finland Auskick
26704,Finland Coaches
26705,Finland Umpires
26706,Greece Leagues
26707,Greece Auskick
26708,Greece Coaches
26709,Greece Umpires
26710,Iceland Leagues
26711,Iceland Auskick
26712,Iceland Coaches
26713,Iceland Umpires
26715,West Sydney Wolves Basketball Association
26716,North Coast Shield
26717,Italy Leagues
26718,Italy Auskick
26719,Italy Umpires
26720,Luxembourg Leagues
26721,Luxembourg Auskick
26722,Luxembourg Coaches
26723,Luxembourg Umpires
26724,Malta Leagues
26725,Malta Auskick
26726,Malta Coaches
26727,Malta Umpires
26728,Netherlands AFL
26729,Netherlands Auskick
26730,Netherlands Umpires
26731,Norway Leagues
26732,Norway Auskick
26733,Norway Coaches
26734,Norway Umpires
26735,Portugal Leagues
26736,Portugal Auskick
26737,Portugal Coaches
26738,Portugal Umpires
26739,Russia Leagues
26740,Russia Auskick
26741,Russia Coaches
26742,Russia Umpires
26743,Spain Leagues
26744,Spain Auskick
26745,Spain Coaches
26746,Spain Umpires
26747,Switzerland Leagues
26748,Switzerland Auskick
26749,Switzerland Coaches
26750,Switzerland Umpires
26752,Sweden Auskick
26753,Sweden Umpires
26763,Casino Basketball Association
26764,NZRL - Backyard League Schools Festival
26766,"Monbulk Rangers Soccer Club "
26767,AFL London OLD
26768,AFL London Womens OLD
26769,AFL NSW/ACT Youth Girls Academy
26770,South London Silverbacks
26771,Metro and Southern Districts Basketball Tournament
26772,Chertsey (After School) Auskick Centre
26774,Tokoroa Junior Basketball
26775,FFSA - South Australian Amateur Soccer League
26776,Diamond Valley Eagles Invitational
26780,Goalball
26781,School Sport Australia (SSA) - Goalball
26782,Tweed Coast JAFC Auskick Centre
26785,Miners Rugby League and Touch Football Club Inc.
26786,WAFL Talent Pathway
26788,Hendon PS Auskick Centre
26789,Nazareth Auskick Centre
26790,West Lakes Shore Auskick Centre
26791,Woodville PS Auskick Centre
26794,North Shore State School Auskick Centre
26795,Tamborine Mountain College Auskick Centre
26798,The Murri School Auskick Centre
26799,Camberwell Sharks JFC Auskick Centre
26800,East Tamar Auskick Centre
26805,South Adelaide FC (All Girls) T1 Auskick Centre
26807,Salisbury North FC Auskick Centre
26808,BNSW Membership
26809,Premier Touch Football Association
26810,Casuarina Cup
26811,Intrust Super Shute Shield
26813,SAAS - Water Polo
26814,SAAS - Volleyball
26815,SAAS - Tennis
26816,SAAS - Tee Ball
26817,SAAS - Swimming
26818,SAAS - Cricket
26819,SAAS - Badminton
26821,
26822,Armstrong Creek
26824,Eastern Parade Reserve (All Girls) Auskick Centre
26828,Sydney North Female Academy
26829,Sydney East Female Academy
