Association Id,Association Name
25307,Tammin
25308,CBC Hockey Club
25309,YM Hockey Club
25310,Mines Hockey Club
25311,Norths-Wesley Hockey Club
25312,Pegasus Hockey Club
25313,Veterans Hockey Club
25314,Eastern Goldfields Hockey Association
25315,Geraldton Hockey Association
25316,Australs
25317,Cardinals
25318,Casuals
25319,Murchison
25320,Rovers
25321,Saints
25322,Swans
25323,Yacht Club
25324,GHA Officials Club
25325,Hills Junior Hockey
25326,Kalamunda Hockey Club
25327,Old Guildfordian Mundaring Hockey Club
25328,Swan View Women's Hockey Club
25329,Glen Forrest Women's Hockey Club
25330,Mundaring Women's Hockey Club
25331,Ranges Ladies Hockey Club
25332,Roleystone Women's Hockey Club
25333,Lower Great Southern Hockey Association
25334,Albany Primary School
25335,Bethel
25336,Flinders Park Primary School
25337,Great Southern Grammar
25338,LGSHA Umpires
25339,Manypeaks
25340,Mt Barker
25341,North Albany
25342,Spencer Park
25343,Tigers
25344,Yakamia Primary School
25345,Vikings Hockey Club
25346,Halls Head
25347,Irwinians
25348,Midcity
25349,Madora Bay Saints
25350,Mandurah
25351,Pinjarra
25352,Frederick Irwin School
25353,Halls Head College
25354,Peel Junior’s
25355,AllBlacks
25356,Brookton
25357,Dumbleyung
25358,Mighty Ducks
25359,Narrogin
25360,Narrogin Residential College
25361,Olympics
25362,Pingelly
25363,Riffs
25364,Robins (Upper Great Southern Hockey Association)
25365,WA College of Agriculture
25366,Wagin Hockey Club
25367,Warriors Men
25368,Warriors Women
25369,Wickepin
25370,Williams
25371,Esperance Hockey Association
25372,Nickol Bay Juniors
25373,Nickol Bay Seniors
25374,Kalamunda Districts Hockey Club
25376,WA Country Masters Hockey Association
25377,BayUnion Women's Hockey Club (Inc.)
25378,Blades (Eastern)
25379,Bunbury Cathedral Grammar School H2H Centre
25380,Canning Districts Hockey Club
25381,Central Midlands H2H Centre
25382,Corrigin H2H Centre
25383,Curtin University Hockey Club
25384,Dale Hockey Club
25385,Dellas Hockey Club
25386,Ellenbrook Falcons Hockey Club
25387,Fremantle Hockey Club
25388,Great Southern Grammar H2H Centre
25389,Hale Hockey Club
25390,Harlequin Wanneroo Hockey Club
25391,John XXIII Hockey Club
25392,Joondalup Lakers Hockey Club
25393,Karlgarin Hyden H2H Centre
25394,Kwinana Tigers Hockey Club
25395,Lower Great Southern H2H Centre
25396,Mazenod College Hockey Club
25397,Melville City Hockey Club (Inc)
25398,Mercedes Hockey
25399,Mingenew H2H Centre
25400,Modernians Hockey Club (Inc)
25401,Dongara Hin2H Centre
25402,Mukinbudin H2H Centre
25403,Newman Knights Hockey Club
25404,North Coast Raiders Hockey Club
25405,Old Aquinians Hockey Club
25407,Pingelly H2H Centre
25408,Pingrup Primary School H2H Centre
