Association Id,Association Name
16136,Wamberal (After School) Auskick Centre
16137,Woodport (After School) Auskick Centre
16138,Northlakes (After School) Auskick Centre
16139,Medowie Christian College (After School) Auskick Centre
16141,deleted
16142,Tyalla Primary School After School Auskick
16143,Tyalla Primary School After School Auskick
16144,Tyalla PS (After School) Auskick Centre
16145,"Nunawading Vikings test "
16146,Queensland Rugby League
16147,Football SWOL Training Database
16148,Fiji Basketball Test
16149,Foster Forty40 Bowls Club
16150,Chirnside Park Forty40 Bowls Club
16151,Dimboola Forty40 Bowling Club
16152,Mooroopna Forty40 Bowls Club
16153,Penshurst Forty40 Bowls Club
16154,Coatesville Forty40 Bowling Club
16155,SS&A Wodonga Forty40 Bowls Club
16156,Balranald Forty40 Bowling Club
16157,"Yinnar Forty40 Bowls Club "
16159,NRLD Training Database 1
16161,Football Far North Coast
16162,Morphett Vale FC Auskick Centre
16163,Macquarie Football
16164,Freds Pass Auskick Centre
16166,BV Testing
16167,OZ Tenpin Chirnside
16169,Football Mid North Coast
16171,"Newcastle, Hunter Valley and Macquarie Football Competitions"
16172,North Coast Football
16173,Northern Inland Football (NIF)
16174,FFA - Hunter Valley Football
16175,Western City Sports Club
16176,Flaxmere Family Run
16177,Friday Night Touch
16178,Tauranga Moana Touch
16179,AFL Cairns Womens
16180,Testing Touch
16181,NAB League Clubs
16182,Australian International Islamic College Auskick Centre
16183,Staines Memorial Auskick Centre
16184,St Ambrose Auskick Centre
16185,Redbank Plains State SChool Auskick Centre
16186,All Saints (Boonah) Auskick Centre
16187,Geelong Talent
16193,NSW Western Sydney Academy
16194,Penrith Junior League
16195,Hong Kong - Basketball
16196,Hong Kong - Cycling
16197,Hong Kong - Football
16198,Hong Kong - Football - 7-aside
16199,Hong Kong - Futsal
16200,Hong Kong - Golf
16201,Hong Kong - Hockey
16202,Hong Kong - Judo
16203,Hong Kong - Karate
16204,Hong Kong - Lawn Bowls
16205,Hong Kong - Ocean Swimming
16206,Hong Kong - Rugby 7's
16207,Hong Kong - Squash
16208,Hong Kong - Supporter
16209,Hong Kong - Swimming
16210,Hong Kong - Table Tennis
16211,Hong Kong - Ten Pin Bowling
16212,Hong Kong - Tennis
16213,Hong Kong - Triathlon
16214,Sweden - Basketball
16215,Sweden - Cycling
16216,Sweden - Football
16217,Sweden - Football - 7-aside
16218,Sweden - Futsal
16219,Sweden - Golf
16220,Sweden - Hockey
16221,Sweden - Judo
16222,Sweden - Karate
16223,Sweden - Lawn Bowls
16224,Sweden - Ocean Swimming
16225,Sweden - Rugby 7's
16226,Sweden - Squash
16227,Sweden - Supporter
16228,Sweden - Swimming
16229,Sweden - Table Tennis
16230,Sweden - Ten Pin Bowling
16231,Sweden - Tennis
16232,Sweden - Triathlon
16233,Blackburn Vikings Basketball Club
16234,Aussie Hoops Demo 2
16238,Albion Park Community Centre Auskick Centre
16239,Figtree PS (Before School) Auskick Centre
16242,Walhallow PS (After School) Auskick Centre
16244,Gilgai PS (After School) Auskick Centre
16246,Ivanhoe East Basketball Club Inc
16247,Dunn Lewis Centre
16248,QLD Motocross
16249,Lithuania - Basketball
16250,Lithuania - Cycling
16251,Lithuania - Football
16252,Lithuania - Football - 7-aside
16253,Lithuania - Futsal
