Association Id,Association Name
20633,UWA Uniswim
20634,Guildford JFC Auskick Centre
20638,Stanmore Public Auskick (After School) Auskick Centre
20639,San Souci Public Auskick (After School) Auskick Centre
20641,Hume Bombers Auskick Centre
20642,NAB AFL Under 18s Championships
20643,NAB AFL Under 16s Championships
20646,Rand-Walbundrie Tigers (Pay)
20647,St George Junior Rugby League
20650,"Murray Football Netball League "
20651,FSP Internal Payments
20652,Healesville - AFL Holiday Program
20653,Moorabbin - AFL Holiday Program
20654,Point Cook - AFL Holiday Program
20655,Elwood - AFL Holiday Program
20656,"Wantirna South "
20657,Metro South (WA)
20658,Hobart Phoenix Basketball Association
20659,Holy Family CPS (Parkes After School) Auskick Centre
20660,Tanilba Bay PS (After School) Auskick Centre
20661,All Saints (All Girls) Auskick Centre
20662,Aspley East (All girls) Auskick Centre
20663,Craigslea State School (All Girls) Auskick Centre
20664,Albany Creek (All Girls) Auskick Centre
20665,Eatons Hill (All Girls) Auskick Centre
20666,Hepburn Auskick Centre
20668,Craigieburn - AFL Holiday Program
20669,Seaford - AFL Holiday Program
20672,Cobden Basketball Association
20674,Barham Koondrook Junior Basketball Association
20675,Kowree Basketball Association
20678,Pyramid Hill Basketball Association
20679,FQ - Futsal
20680,Moorabbin Kinderkick
20681,Bayside Basketball Tournament
20683,Wodonga- AFL Holiday Program
20684,Benalla- AFL Holiday Program
20685,Myrtleford- AFL Holiday Program
20686,Wangaratta- AFL Holiday Program
20687,Yarrawonga- AFL Holiday Program
20688,Womens National Draft
20690,Victoria - AFL 9s Juniors
20691,CBA Test
20697,Western Australia - AFL 9s Juniors
20698,Dandenong - AFL Holiday Program
20699,Box Hill - AFL Holiday Program
20700,Preston - AFL Holiday Program
20702,"Oakleigh "
20703,Please Delete
20705,Bendigo Football Netball League
20706,Our Lady of Lourdes (Sunnybank) Auskick Centre
20707,Acacia Ridge State School Multicultural Auskick Centre
20709,Churchill Senior Basketball Association
20715,TAC Cup Clubs
20716,GD NRL Events
20717,GD Central Hunter North West NSW
20718,GD Northern NSW
20719,GD South West NSW
20720,GD Southern NSW
20721,GD Sydney Metro
20722,GD Sydney West
20723,GD Western NSW
20724,GD Central Queensland
20725,GD Northern Queensland
20726,GD South East Queensland
20727,GD Northern Territory
20728,GD South Australia
20729,GD Tasmania
20730,GD Victoria
20731,GD Western Australia
20732,National Schools Competitions
20733,NSW School Competitions
20734,QLD School Competitions
20735,Other States School Competitions
20736,Australian Islamic College Auskick Centre
20746,Woongarrah (After School) Auskick Centre
20747,Wadalba (After School) Auskick Centre
20748,Killarney Vale (After School) Auskick Centre
20749,Somersby (After School) Auskick Centre
20750,Ettalong (After School) Auskick Centre
20751,Niagara Park (After School) Auskick Centre
20753,Tarwin Lower Auskick Centre
20754,Upper Brookfield State School Auskick Centre
20755,Our Lady of Dolours Catholic Primary School Auskick Centre (Monday)
20758,Maryborough (Special School) Auskick Centre
20759,St Josephs (Childers) Auskick Centre
20761,Eastern Football Netball League (Netball)
20762,SANFL Minis
20763,Oakwood State School Auskick Centre
20764,Wartburg State School Auskick Centre
20765,Lowmead State School Auskick Centre
20769,Glen Eira Leisure
20771,Redbank State School Auksick Centre
20772,Camira State School Auskick Centre
20775,Beleura Auskick Centre
20778,Old Ignatians Rugby Club
20779,QRL Match Official - Carnivals
20783,Gold Coast Suns Cup
20784,Basketball Test (2014)
20785,Female Participation (no longer in use)
