Association Id,Association Name
17908,Wagga District Junior Netball League
17910,Geelong Basketball Netball Centre
17911,CRL Camps/Clinics
17912,Whitefriars PS (T3) Auskick Centre
17914,Hobart Basketball Competitions
17916,Sam test
17920,Gove Rugby League Inc.
17921,Basketball Network Training
17926,Deakin University Sharks
17927,Hunter AFL Masters
17928,Bambill FC Auskick Centre
17930,Woori Yallock Auskick Centre
17931,Inverloch Auskick Centre
17933,FV Futsal - Victoria Futsal
17934,FV Futsal - Macedon Ranges Futsal
17935,FV Futsal - Bairnsdale Soccer Club
17937,North West Games
17938,Lower Clarence Auskick Centre
17939,Glen Innes Auskick Centre
17940,Katoomba Auskick Centre
17941,Victorian Schools Touch Championships
17943,Hungary Basketball Federation
17949,Hungary Basketball Federation 3x3
17950,Vasse Auskick Centre
17953,"    "
17955,Australian Secondary Schoolboys Rugby League
17956,Canberra Region Rugby League Courses
17958,SANFL
17961,North Bendigo Auskick Centre
17964,St James PS (Muswellbrook After School) Auskick Centre
17965,Lindsay Park PS (Before School) Auskick Centre
17966,Shellharbour PS (Before School) Auskick Centre
17967,Mt Terry PS (Before School) Auskick Centre
17968,mysportsmed
17969,Life. Be In It Events
17971,Basketball Queensland SPC Test
17972,Basketball South Australia SPC Test
17975,Metro Football League
17976,Ben Test
17979,FV Futsal - Futsal Geelong
17980,Spencer Gulf Basketball Tournaments
17982,Football West - Events
17983,Guam Federation
17984,AFLNT Event Office
17989,Grovely State School Auskick Centre
17990,Augusta State School Auskick Centre
17991,Woodlinks State School Auskick Centre
18000,Stowarzyszenie STREETBALL POLSKA
18002,Shorncliffe State School Auskick Centre
18003,St Kieran's Primary School Auskick Centre
18004,Sandgate State School Auskick Centre
18006,Ballarat Netball Association
18007,University of Sunshine Coast - Little Athletics Club
18008,Brisbane Volleyball Association
18013,East Avon JFA
18015,Toowoomba Netball Association
18020,Glen Eira Sports and Aquatic Centre Futsal
18021,Glen Eira Sports and Aquatic Centre Netball
18022,Sutton Town PS Auskick Centre
18023,Kongorong FC Auskick Centre
18024,dvgzdfgdzfg
18025,Coyote-Hoops Basketball Club Inc.
18027,Peake FC Auskick Centre
18030,Maffra Volleyball
18031,FV - Football Fives
18033,FIBA 33 Geelong
18035,BA Accreditations
18036,Orange East PS (After School) Auskick Centre
18037,Cathedral Primary School (Bathurst After School) Auskick Centre
18038,St Raphaels (After School) Auskick Centre
18039,Orange PS (After School) Auskick Centre
18040,Kogarah (After School) Auskick Centre
18041,Laguna Street (After School) Auskick Centre
18042,Loftus PS (Before School) Auskick Centre
18044,Enfield (After School) Auskick Centre
18045,Giants Multicultural
18046,Sydney Multicultural
18047,WAFC
18048,AFLQLD
18049,GC Multicultural
18050,AFLTAS
18051,AFLNT
18052,All Saints Catholic (After School) Auskick Centre
18054,Berala PS (After School) Auskick Centre
18056,Cartwright PS (After School) Auskick Centre
18058,Fairfield PS (After School) Auskick Centre
18060,Heckenberg PS (After School) Auskick Centre
18061,Kemps Creek PS (After School) Auskick Centre
18064,Picton PS (After School) Auskick Centre
18065,St Anthonys PS (After School) Auskick Centre
18067,Kambora (After School) Auskick Centre
18068,Villawood (After School) Auskick Centre
18069,Wattawa Heights PS (After School) Auskick Centre
18070,Avalon (After School) Auskick Centre
18071,Frenchs Forest (After School) Auskick Centre
18072,Bilgola Plateau (After School) Auskick Centre
18074,Castle Cove PS (After School) Auskick Centre
18075,Bowral (After School) Auskick Centre
18076,Lake Illawarra Magpies (After School) Auskick Centre
18077,FNSW - State Cup
