Association Id,Association Name
18080,Our Lady of the Angels (Kellyville After School) Auskick Centre
18081,Maroondah Volleyball
18082,There's a better way
18085,South Geelong Association
18089,Western Region Volleyball Association
18090,Border Downs Tintinara FC Auskick Centre
18091,North Sydney Junior Rugby League
18096,NSW/ACT Female Football
18099,North Coast Registered Athletes
18100,Mowbray (After School) Auskick Centre
18101,Wangaratta Supa Bowl
18102,SportsTG Test
18103,North Coast Registered Volunteers
18104,Kellerberrin Netball Association
18108,Rory Comps Test
18109,Basketball Victoria FSP Comps Test
18110,Basketball WA SPC Test
18111,Basketball New Zealand SPC Test
18117,Westgate Basketball Association
18120,Dream Start Soccer Academy
18121,West Kimberley Junior Football League
18133,AFL Club Websites
18137,St Scholastica's College (Glebe After School) Auskick Centre
18138,Badac Auskick Centre
18139,Streetball Italian Tour City of Milano
18140,Riddells Creek Netball Association
18141,AFL Quebec
18146,Mango Hill State School Auskick Centre
18148,Port Macquarie (Girls) Auskick Centre
18149,Fairfield Auskick Centre
18154,Cricket Victoria Staff
18155,St Coleman's Auskick Centre
18156,Brandon State School Auskick Centre
18157,Ayr State School Auskick Centre
18158,Toowoomba Prep - Yr 5
18159,Hodgsonvale Auskick Centre
18161,Ipswich Central State School Auskick Centre
18162,Camira State School ( In School) Auskick Centre
18163,Enoggera State School Auskick Centre
18164,Ipswich East (In School) Auskick Centre
18165,Bulimba State School Auskick Centre
18169,Beerburrum State School Auskick Centre
18170,BSA Events & Merchandise
18171,Australian Lacrosse Association National Events
18172,Prescott Northern (T3) Auskick Centre
18173,Streetball Italian Tour Salerno City 3x3
18174,Streetball Italian Tour 2012 - Reggio Calabria City 3x3
18175,Streetball Italian Tour 2012 - Trieste City 3x3
18177,Waniora PS (After School) Auskick Centre
18178,NBA 3x Tour Italy 2012
18179,Lawn Bowls SWOL Test
18180,Lacrosse SWOL Test
18190,Coningsby State School Auskick Centre
18191,The Alliance
18193,ASB Sports Centre - Volleyball
18195,Northern Football League Netball
18197,Mud n Tars Motorcycle Club
18198,Smith Family Events
18199,Knox Basketball - School Holiday Programs
18200,Knox Basketball - Programs
18201,Maffra-Sale Motorcycle Club
18202,NZRL supporters
18203,Oakleigh Recreation Centre - Futsal
18204,Oakleigh Recreation Centre - Netball
18205,Oakleigh Recreation Centre - Basketball
18206,Townsville Junior Touch Football
18214,Laurieton (After School) Auskick Centre
18215,Newington College (After School) Auskick Centre
18216,West Perth FC - Club Payments
18223,University of Sunshine Coast Basketball - Merchandise Shop
18224,Canterbury AFL
18228,Pacific Open (3x3 World Tour)
18229,Cricket NSW Staff
18230,Wendouree Netball Association
18232,FIBA 3x3 World Tour Sao Paulo
18235,3x3 World Tour Masters Brazil
18236,Albury Basketball Association
18241,Cecil Hills PS (After School) Auskick Centre
18242,Hinchinbrook PS (After School) Auskick Centre
18244,Dalmeny PS (After School) Auskick Centre
18246,Hoxton Park PS (After School) Auskick Centre
18248,Liverpool West PS (After School) Auskick Centre
18249,Marsden Road PS (After School) Auskick Centre
18250,Revesby South PS (After School) Auskick Centre
18253,Yagoona PS (After School) Auskick Centre
18254,Bankstown West PS (After School) Auskick Centre
18256,Regents Park Christian School (After School) Auskick Centre
18260,Oakleigh Chargers
18261,Knox Netball Association
18262,Maribyrnong Park FC - Events
18267,FIBA 33 test
18268,Basketball Australia 3x3
18270,Bayside Basketball Association
18272,Prouille (After School) Auskick Centre
18273,East Lindfield (After School) Auskick Centre
18276,Turramurra (After School) Auskick Centre
18277,Beaumont Rd (After School) Auskick Centre
18278,Gordon West (After School) Auskick Centre
18279,Mosman (After School) Auskick Centre
18280,The Hills Grammar (After School) Auskick Centre
