Association Id,Association Name
17682,Manor Lakes Auskick Centre
17688,Gulgong Touch Association
17692,Jindabyne Touch Association
17693,Kandos/Rylstone Touch Association
17695,Merriwa Touch Association
17696,Portland Touch Association (NSW)
17697,Walcha Touch Association
17698,Wellington Touch Association
17699,Wollongong Touch Association
17700,Yass Touch Association
17704,NBA 3x ASW
17706,HoopsFit
17707,Hoop it up 2
17708,Hoop it up 3
17711,Melbourne
17716,Victoria Registered Athletes
17719,Elimbah JAFC Auskick Centre
17721,Touch Football Australia Merchandise
17724,Join The Game - Como City
17728,Stuart State School Auskick Centre
17729,ASBL 3x3
17730,Portland Basketball Association - Seniors
17731,VCFA - Victorian Churches Football Association
17732,St Edwards the Confressor (All Girls) Auskick Centre
17742,Lockyer Valley AFC Auskick Centre
17743,Bunker's Hill State School Auskick Centre
17744,Hatton Vale State School Auskick Centre
17745,Sacred Heart Primary (Toowoomba) Auskick Centre
17746,Inglewood State School Auskick Centre
17748,Sherwood State School Auskick Centre
17786,SA Dirt Track
17787,Birrong PS (After School) Auskick Centre
17788,Phillip Park (Lurnea After School) Auskick Centre
17790,Australis Park (Wattle Grove After School) Auskick Centre
17791,Newington PS (After School) Auskick Centre
17793,Harrington Street PS (After School) Auskick Centre
17795,Villawood North PS (After School) Auskick Centre
17796,St Peter's Anglican Primary School (After School) Auskick Centre
17799,Wollondilly Anglican College (After School) Auskick Centre
17802,Mt Pritchard East PS (After School) Auskick Centre
17803,Lidcombe Public School AFL Auskick Centre  Afterschool
17804,William Carey Christian (After School) Auskick Centre
17805,Condell Park PS (After School) Auskick Centre
17808,Parramatta North PS (After School) Auskick Centre
17809,Ellison PS (After School) Auskick Centre
17811,Lethbridge/Meredith (Thursday) Auskick Centre
17812,Epping Auskick Centre
17813,Mill Park Heights Primary School Auskick Centre
17819,Northern Territory Rugby League Course Registration
17820,Balloon Football League
17824,FV - Shepparton Junior Soccer Association
17825,FV - Swan Hill Soccer League
17826,Valkyrie State School Auskick Centre
17828,GIANTS competition 2012 Australia Day
17829,Swans competition 2012 Australia Day
17830,Eynesbury Auskick Centre
17831,Thomastown Auskick Centre
17832,Campsie (After School) Auskick Centre
17833,Claremont (Before School) Auskick Centre
17835,Heathcote (After School) Auskick Centre
17836,Kareela (After School) Auskick Centre
17838,Smithfield West PS (After School) Auskick Centre
17840,Bondi PS (After School) Auskick Centre
17841,James Erskine PS (After School) Auskick Centre
17842,Beaumont Hills PS (After School) Auskick Centre
17843,Rouse Hill Anglican College (After School) Auskick Centre
17844,Bethany PS (After School) Auskick Centre
17846,Eastern Parishes Basketball Association
17848,St Philomenas (After School) Auskick Centre
17850,Blackheath PS (After School) Auskick Centre
17851,NSW Churches Football Association
17852,Monash Sport
17853,Frankston & District Netball Association
17854,Peninsula Netball Club
17855,Berkeley Vale (After School) Auskick Centre
17856,Central Coast Adventist (After School) Auskick Centre
17857,St John the Baptist CPS (Woy Woy After School) Auskick Centre
17863,Roma & District Junior Rugby League Inc.
17865,Sunrise Christian School (Fullarton) Auskick Centre
17866,Ryde (After School) Auskick Centre
17867,Roberts Park (Greenacre After School) Auskick Centre
17872,FV Futsal - Futsaloon Fives
17874,Atherton Basketball Association - Aussie Hoops
17875,National Wheelchair Rugby League (NWRL)
17880,Farrer Football League
17881,Riverina Football League
17882,Wagga District Junior Football League
17883,South West Junior Football League
17884,Northern NSW Football - State Championships
17885,Schools Regional Futsal Championships
17887,St Brigids PS (After School) Auskick Centre
17889,Towradgi PS (After School) Auskick Centre
17894,Northern Football League
17896,Deakin University Sharks - Deleted
17897,NSW Rugby League Academy
17900,Streetball Gala 2012 - Singapore
17904,Football NSW - School Holiday Camps
17905,Riverina Netball League
17906,Farrer Netball League
17907,South West Junior Netball League
