Association Id,Association Name
24783,Revesby Hockey Club
24784,Dolphins Hockey Club
24785,Easts Women's Hockey Club (Eastern Districts Women's Hockey Association)
24786,Esquires Hockey Club
24787,Pohogs Hockey Club
24788,St George Women's Hockey Club
24789,UNSW Hockey Club
24790,SEHA Masters
24791,Wests
24792,St George Randwick Hockey Club
24793,Bankstown Sports Hockey Club
24794,Briars Hockey Club
24795,Glebe District Hockey Club
24796,Monterey HC
24797,Bentstix Hockey Club
24798,East Hockey Club (Sydney Hockey Association)
24799,UNSW - Juniors
24801,Commerce-Pints Hockey Club
24803,Nightcliff University Tigers Hockey Club
24814,All Hallows School
24815,Arana Ascot Hockey Club
24816,Ascot Women's Hockey Club
24817,Bulimba Women's Hockey Club
24818,Commercial Hockey Club
24819,Commodores Hockey Club
24820,Eastern Suburbs Hockey Club
24821,Kedron Wavell Services Hockey Club
24822,Logan Women's Hockey Club
24823,Lourdes Hill College
24824,Moreton Bay College
24825,Northern Suburbs Hockey Club (Hockey Brisbane)
24826,Pine Hills Hockey Club
24827,Pine River St Andrews Hockey Club
24828,QUT Women's Hockey Club
24829,Redcliffe Leagues Hockey Club
24830,South Brisbane Eagles Women's Hockey Club
24831,South West United Women's Hockey Club
24832,St Andrews Women's Hockey Club
24833,Stuartholme School
24834,University of QLD Hockey Club
24835,Valley Women's Hockey Club
24836,Redlands Area
24837,Clayfield College
24838,Redeemer College Brisbane
24839,Bulimba Men's Hockey Club
24840,Labrador Men's Hockey Club
24841,PR St Andrews Men's Hockey Club
24842,Queensland Police Men's Hockey Club
24843,South West United Men's Hockey Club
24844,Southbank Strikers Men's Hockey Club
24845,Valley Men's Hockey Club
24846,QUT Men's Hockey Club
24847,All Blacks Hockey Club
24848,Arrows/Athletics Hockey Club
24849,Cities Hockey Club
24850,Raiders Hockey Club
24851,Rovers Hockey Club
24852,Brothers Hockey Club (Cairns)
24853,Saints Hockey Club
24854,Souths Hockey Club
24855,Trinity Stingers Hockey Club
24856,Tableland Hockey
24857,Allstars Sports Club
24858,Capri Hockey Club
24859,Hockey Burleigh Inc
24860,Labrador Tigerstix Hockey Club
24861,Mudgeeraba Hockey Club
24862,Logan Hockey Club
24863,Roosters Hockey Club
24864,Redlands Hockey Club
24865,Bellbowrie Hockey Club
24866,Collegians Hockey Club
24867,Ipswich Hockey Association
24868,Eastern Suburbs Hockey Club Ipswich
24869,Hancock Brothers Hockey Club
24870,Northern Suburbs Hockey Club Ipswich
24871,Thistles Ladies Hockey Club
24872,Veterans Ladies Hockey Club
24873,Western Suburbs Hockey Club
24874,Swifts Hockey Club
24875,Classic League
24876,Hearts Hockey Club
24877,Mackay Hockey Association
24878,Mackay School Hockey Association
24879,Arsenal Hockey Club
24880,Brothers Hockey Club (Mackay)
24881,Norths Hockey Club
24882,Souths United Hockey Club
24883,Camerons Hockey Club
24884,Buderim Rebels Hockey Club
24885,Caboolture Cougars Hockey Club
24886,Caloundra Seahawks Hockey Club
24887,Flinders Hockey Club
24888,Kawana-Mooloolaba Hockey Club
24889,Maroochydore Hockey Club
24890,Nambour Blue Demons Hockey Club
24891,North Shore United Hockey Club
24892,Wamuran Razorbacks Hockey Club
24893,Masters
24894,Gympie Cooloola Heat
