Association Id,Association Name
25205,Boort Hockey Club
25206,Wycheproof-Narraport Hockey Club
25207,Birchip-Watchem Hockey Club
25208,Sea Lake Nandaly Tigers Football Netball Hockey
25209,Dimboola Hockey Club
25210,Horsham Hockey Club
25211,Nhill & District Sporting Club. – Hockey Division
25212,Yanac Hockey Club
25213,Kaniva Hockey Club
25214,Warracknabeal Hockey Club
25215,Latrobe Valley Hockey Association
25216,Churchill Hockey Club
25217,Traralgon Hockey Club
25218,Traralgon Rovers Hockey Club
25219,Moe Hockey Club
25220,Yallourn Hockey Club
25221,Morwell Hockey Club
25222,Wangaratta Hockey Club
25223,Corowa - Rutherglen United Hockey Club
25226,Magpies Hockey Club (Albury)
25227,Wombats Hockey Club (Albury/Wodonga)
25228,Norths Hockey Club (Albury)
25229,Falcons Hockey Club (Albury)
25230,Scots Hockey Club (Albury)
25231,Wodonga Hockey Club
25232,Aztecs Hockey Club
25233,Drouids Hockey Club
25234,Warriors Hockey Group
25235,Gulls Hockey Club
25236,West Gippsland Hockey Association
25237,Blaze Hockey Club
25238,ACU Hockey Club
25239,Students of Ballarat Hockey Club
25240,Eureka & Golden City Hockey Club
25241,BobCats Hockey Club
25242,Pumas Hockey Club
25243,Students of Ballarat
25244,Girls Day Out
25245,Grampians Hockey Club
25246,Diamond Creek Hockey Club
25247,Eltham Hockey Club
25248,Laurimer Hockey Club
25249,South Morang Hockey Club
25250,H2H Pakenham Hockey Club
25251,H2H Craigieburn Hockey Club
25252,H2H Leongatha Hookin2Hockey
25253,H2H Wonthaggi Hookin2Hockey
25254,H2H Broadmeadows Hockey
25255,Swan Hill Hookin2Hockey
25256,Noorat Hockey Club
25257,Meeniyan Hockey Club
25258,Trinity Anglican College
25259,Lake Grace / Pingrup
25260,Newdegate
25261,Jerramungup
25262,Borden
25263,Gnowangerup
25264,Boxwood Hill
25265,Kent
25266,Boyanup Hockey Club
25267,Boyup Brook Women Hockey Club
25268,Collie Men Hockey Club
25269,Collie Women's Hockey Club
25270,Country Women's Hockey Club
25271,Donnybrook Ladies Hockey Club
25272,Donnybrook Men's Hockey Club
25273,Eaton Eagles Women's Hockey Club
25274,Exies Hockey Club
25275,Exies Junior Hockey Club
25276,Grammar School
25277,Harvey Hockey Club
25278,Margaret River Cavaliers (Bunbury & Districts Hockey Association)
25279,Marist Hockey Club
25280,Marist Junior Hockey Club
25281,Occassionals Hockey Club
25282,Robins Women Hockey Club (Bunbury & Districts Hockey Association)
25283,Towns South Hockey Club
25284,Wests Hockey Club (Bunbury & Districts Hockey Association)
25285,Bunbury & Districts Junior Hockey
25286,Associates Hockey Club
25287,Augusta-MRiver Hockey Club
25288,Cavaliers Hockey Club
25289,Centrals Veterans Hockey Club
25290,Cougars Veterans Hockey Club
25291,Jets Hockey Club
25292,Margaret River Hockey Club (Busselton Hockey Association)
25293,Redbacks Veterans Hockey Club
25294,Robins Hockey Club (Busselton Hockey Association)
25295,Capel Hockey Club
25296,Country Men's Hockey Club
25297,Country Women's Hockey Club
25298,Wests Hockey Club (Busselton Hockey Association)
25299,Busselton Hockey Association
25300,Badgingarra Hockey Club
25301,Burracoppin
25302,Cunderdin
25303,Kellerberrin
25304,Meckering
25305,Merredin
25306,Quairading
