Association Id,Association Name
6028,Somerset Amateur Basketball Association
6029,South East Basketball Association
6031,St Helens Basketball Association
6032,Ulverstone Basketball Association
6034,Wynyard Basketball Association
6035,Exmouth Basketball Association
6036,Australind Basketball Association
6037,Bindoon Basketball
6038,Capel Basketball Association
6039,Boddington Basketball Association
6041,Bridgetown Basketball
6042,Broome Basketball Association
6044,Busselton Basketball Association
6046,Collie Basketball Association
6047,Cunderdin Basketball Association
6048,Dalwallinu Junior Basketball
6050,Dardanup Basketball Association
6051,Denmark Basketball Association
6052,Dongara Basketball
6054,Donnybrook Junior Basketball
6055,Dowerin Basketball Association
6058,Eaton Basketball Association
6059,Esperance Basketball Association
6062,Harvey Basketball Association
6063,Jerramungup Basketball
6064,Jerramungup Junior Basketball Club
6065,Kalamunda Basketball Association
6066,Kalgoorlie-Boulder Basketball Association
6068,Karratha Basketball Association
6070,Katanning Junior Basketball Association
6073,Koorda and Districts Basketball
6075,Manjimup Basketball Association
6076,Margaret River Basketball
6077,Merredin Basketball Association
6078,Moora Junior Basketball
6079,Mount Barker Basketball
6080,Mukinbudin Basketball
6081,Nannup Basketball Association
6084,Paraburdoo Basketball Association
6085,Newdegate Basketball Association
6090,Pemberton Basketball Association
6091,Pinjarra Basketball
6094,All Hedland Basketball Association
6095,Tom Price Amateur Basketball
6097,Wagin Basketball Association
6100,Waroona Basketball Association
6101,Wongan Hills & Districts
6102,Esperance Junior Basketball Association
6103,Yilgarn Basketball
6104,Basketball South West
6105,Bunbury Basketball Association
6106,Cockburn Basketball Association
6107,East Perth Basketball Association
6108,Geraldton Amateur Basketball Association
6109,Lakeside Recreation Centre
6110,Mandurah Basketball
6111,Basketball WA Senior Competitions
6112,Perth Basketball Association
6113,Rockingham Basketball Recreation Association
6114,Warwick Stadium - Basketball
6115,Wanneroo Basketball Association
6116,Willetton Basketball Association
6124,Pacific Hills Christian PS (After School) Auskick Centre
6125,Carlingford PS (After School) Auskick Centre
6127,Blacktown South Primary School (After School) Auskick Centre
6128,Ravenshoe Touch Association Inc
6129,OSEP Container
6131,Central Queensland Touch Association
6133,Outback Rugby League
6134,Cove FC Auskick Centre
6137,Bankstown Basketball Association
6140,BBNZ Leagues
6141,Harare Basketball Association
6144,Ipswich North State School Auskick Centre
6145,Lacrosse WA
6147,Samoa - Media
6148,American Samoa - Media
6149,Australia - Media
6150,Cook Islands - Media
6151,FSM - Media
6152,Fiji - Media
6153,Guam - Media
6154,Kiribati - Media
6155,Marshall Islands - Media
6156,Nauru - Media
6157,New Caledonia - Media
6158,New Zealand - Media
6159,Niue - Media
6160,Norfolk Island - Media
6161,Northern Marianas - Media
6162,Palau - Media
6163,Papua New Guinea - Media
6164,Solomon Islands - Media
6165,Tahiti -Media
6166,Tokelau - Media
6167,Tonga - Media
6168,Tuvalu - Media
6169,Vanuat - Media
6170,Wallis and Futuna
6211,Wallan Basketball Inc.
