Association Id,Association Name
614,Mosman Auskick Centre
619,Mt Colah PS (After School) Auskick Centre
623,Mt Victoria PS (After School) Auskick Centre
624,Mudgee Black Swans Auskick Centre
625,Mulgoa PS (After School) Auskick Centre
629,Nambucca Heads PS (After School) Auskick Centre
630,Nambucca Valley Lions FC Auskick Centre
631,Narooma Lions Auskick Centre
632,Narrabeen North PS (After School) Auskick Centre
633,Narrabri Auskick Centre
634,Narrandera (Ages 5 - 10) Auskick Centre
635,Narromine PS (After School) Auskick Centre
636,Nelson Bay (After School) Auskick Centre
637,Nelson Bay Auskick Centre
639,Newcastle City After School Centre
640,Newcastle City Auskick Centre
642,Newtown Swans Club Auskick Centre
644,Ngunnawal PS (After School) Auskick Centre
645,Niagara Park Ourimbah Dockers Auskick Centre
649,North Nowra (After School) Auskick Centre
651,North Ryde Dockers Auskick Centre
654,North Wagga (Ages 5 - 8) Auskick Centre
655,Northbridge PS (After School) Auskick Centre
656,Northern Giants Auskick Centre
657,Northern Districts Auskick Centre
660,NOWRA ANGLICAN
661,North Albury Auskick Centre
668,Oberon Community (After School) Auskick Centre
670,Orange Tigers Auskick Centre
671,Osborne (Ages 5 - 10) Auskick Centre
675,Pambula Panthers Auskick Centre
676,Parkes Panthers Auskick Centre
678,Peninsula Swans Auskick Centre
680,Pennant Hills Auskick Centre
682,Penrith Giants Auskick Centre
683,Penshurst RSL Auskick Centre
688,Pittwater Auskick Centre
689,Pleasant Heights PS (After School) Auskick Centre
692,Port Macquarie Auskick Centre
693,Port Stephens Auskick Centre
697,Prestons PS (After School) Auskick Centre
702,Pymble PS (After School) Auskick Centre
704,Wright Reserve Auskick Centre
705,Queanbeyan Rookie (Ages 5 - 6) Auskick Centre
708,Ramsgate Rams Auskick Centre
714,Richard Johnson Anglican School (After School) Auskick Centre
717,Riverstone (After School) Auskick Centre
720,Robert Townson PS (After School) Auskick Centre
721,Robertson PS (After School) Auskick Centre
722,The Rock (Ages 5 - 8) Auskick Centre
725,Sacred Heart CPS (After School) Auskick Centre
727,Sacred Heart (Wagga Wagga After School) Auskick Centre
729,Ainslie Rookie (Ages 5 - 6) Auskick Centre
730,Ainslie (After School) Auskick Centre
732,Aranda
734,Belconnen Cats Rookie (Ages 5 - 6) Auskick Centre
735,Bonython PS (After School) Auskick Centre
736,Boomanulla
737,Brindabella PS (After School) Auskick Centre
739,Chapman PS (After School) Auskick Centre
740,Eastlake Rookie (Ages 5 - 6) Auskick Centre
742,Evatt (After School) Auskick Centre
743,Fadden Primary School (After School) Auskick Centre
744,Fraser Primary School (After School) Auskick Centre
745,Gilmore Primary School (After School) Auskick Centre
749,Gungahlin Jets Rookie (Ages 5 - 6) Auskick Centre
750,Gunning (After School) Auskick Centre
751,Holy Spirit CPS (After School) Auskick Centre
753,Kambah (After School) Auskick Centre
757,Lyneham Primary School (After School) Auskick Centre
758,Macquarie After School Centre
761,Miles Franklin PS (After School) Auskick Centre
762,Nicholls Community (Before School) Auskick Centre
763,Queanbeyan West PS (After School) Auskick Centre
766,St Anthony's CPS (After School) Auskick Centre
767,St Clare's of Assisi (After School) Auskick Centre
768,St John the Apostle (After School) Auskick Centre
769,St Matthews Primary School (After School) Auskick Centre
770,St Michaels Primary School (After School) Auskick Centre
771,St Peter and Paul PS (St Garran) Auskick Centre
772,St Peter and Pauls PS (Goulburn) Auskick Centre
773,Tharwa PS (After School) Auskick Centre
774,Tuggeranong Bulldogs Rookie (Ages 5 - 6) Auskick Centre
775,Tuggeranong Lions Rookie (Ages 5 - 6) Auskick Centre
776,Wanniassa Hills Primary School (After School) Auskick Centre
777,Wanniassa Primary School (After School) Auskick Centre
778,Weetangera Primary School (After School) Auskick Centre
779,Magpies Rookie (Ages 5 - 6) Auskick Centre
780,Weston Creek Rookie (Ages 5 - 6) Auskick Centre
781,Weston Creek PS (After School) Auskick Centre
821,Katherine Auskick Centre
851,Pularumpi Auskick Centre
859,Tennant Creek Auskick Centre
867,Stuart Park After School Auskick Centre
872,AB Paterson College Auskick Centre
873,Acacia Ridge State School Auskick Centre
875,Airlie Beach Auskick Centre
876,Aitkenvale State School Auskick Centre
877,Albany Creek State School Auskick Centre
878,Albany Hills State School Auskick Centre
