Association Id,Association Name
1417,St Matthew's School Auskick Centre
1418,St Michaels (Gordonvale) Auskick Centre
1421,St Pauls School (Bald Hills) Auskick Centre
1422,St Peter Chanel Primary School Auskick Centre
1423,St Peters Catholic Primary (Caboolture) Auskick Centre
1424,St Peters Lutheran College (Indooroopilly) Auskick Centre
1425,St Pius X School (Salisbury) Auskick Centre
1427,St Rita's Catholic School Auskick Centre
1428,St Saviours Primary (Toowoomba) Auskick Centre
1429,St Stephen's College Auskick Centre
1430,St Thomas More's Primary School (Toowoomba) Auskick Centre
1431,St Thomas Primary Auskick Centre
1432,St Vincents Catholic Primary School Auskick Centre
1433,St William's School (Grovely) Auskick Centre
1434,Stanthorpe Community Auskick Centre
1435,Star of the Sea (Sunshine Coast) Auskick Centre
1437,Pine Rivers JAFC Auskick Centre
1438,Strathpine West State School Auskick Centre
1439,Sunbury Auskick Centre
1442,Sunnybank Hills State School Auskick Centre
1445,Surfers Paradise JAFC Auskick Centre
1446,Surfers Paradise State School Auskick Centre
1447,Taabinga Auskick Centre
1449,Tallebudgera State School Auskick Centre
1451,Tamborine Mountain State School Auskick Centre
1452,Tara State Shire School Auskick Centre
1457,Tieri Auskick Centre
1459,Tinana State School Auskick Centre
1460,Tingalpa State School Auskick Centre
1461,Toowong State School Auskick Centre
1463,Toowoomba Grammar Auskick Centre
1464,Toowoomba (Prep)  Auskick Centre
1465,Torbanlea State School Auskick Centre
1466,Torquay State School Auskick Centre
1468,Trinity Beach State School Auskick Centre
1469,Trinity Lutheran College (Ashmore) Auskick Centre
1470,The Southport School Auskick Centre
1471,Tullawong State School Auskick Centre
1474,Tweed Coolangatta JAFC Auskick Centre
1476,Undurba State School Auskick Centre
1477,Upper Coomera State College Auskick Centre
1478,Upper Ross State School Auskick Centre
1479,Varsity State College Auskick Centre
1480,Victoria Point State School Auskick Centre
1482,Walkerston Community Auskick Centre
1483,Walkervale State School Auskick Centre
1484,Wamuran State School Auskick Centre
1485,Warrigal Road State School Auskick Centre
1487,Waterford State School Auskick Centre
1488,Watson Road State School
1490,Weir Auskick Centre
1491,Wellers Hill State School Auskick Centre
1492,Wellington Point State School Auskick Centre
1493,West End State School Auskick Centre
1494,Wests Juniors AFC Auskick Centre
1495,West Moreton Anglican College Auskick Centre
1496,Westside Christian College Auskick Centre
1497,White Rock State School Auskick Centre
1499,Whitfield State School Auskick Centre
1500,The Willows Auskick Centre
1501,Wilsonton State School Auskick Centre
1502,Wilston Grange JAFC Auskick Centre
1504,Wilston State School Auskick Centre
1506,Windaroo State School Auskick Centre
1507,Windsor State School Auskick Centre
1510,Wondall Heights State School Auskick Centre
1511,Wonga Beach State School Auskick Centre
1512,Woodcrest State College Auskick Centre
1513,Woodford State School Auskick Centre
1514,Woodrige State School Auskick Centre
1515,Woodridge State School Auskick Centre
1516,Woongarra Auskick Centre
1517,Woree State School Auskick Centre
1518,Worongary State School Auskick Centre
1519,Wulguru State School Auskick Centre
1520,Wynnum JAFC Auskick Centre
1521,Wynnum North State School Auskick Centre
1523,Yandina State School Auskick Centre
1525,YARRAMAN STATE SCHOOL
1526,Yarrilee State School Auskick Centre
1527,Yeppoon JAFC Auskick Centre
1528,Yeppoon State School Auskick Centre
1529,Yeronga JAFC Auskick Centre
1530,Yorkeys Knob State School Auskick Centre
1531,Yugumbir State School Auskick Centre
1532,Yungaburra Auskick Centre
1533,Aberfoyle Campus Auskick Centre
1534,Aberfoyle Hub (R - 7 T1) Auskick Centre
1538,Allendale East (After School) Auskick Centre
1539,Angaston FC Auskick Centre
1542,Ardrossan FC Auskick Centre
1544,Athelstone FC Auskick Centre
1547,Balaklava FC Auskick Centre
1550,Barmera Monash FC Auskick Centre
1551,Barossa Districts FC Auskick Centre
1552,Beachport PS Auskick Centre
1553,Belair Auskick Centre
1555,Berri FC Auskick Centre
1556,Birdwood FC Auskick Centre
1564,Bordertown FC Auskick Centre
