Association Id,Association Name
1770,Parkside St Raphaels PS Auskick Centre
1771,Parndana FC Auskick Centre
1772,Paskeville FC Auskick Centre
1773,Payneham FC Auskick Centre
1774,Pedare Auskick Centre
1775,Pembroke Auskick Centre
1777,Penola FC Auskick Centre
1780,Phos Camden FC Auskick Centre
1781,Pinnaroo FC Auskick Centre
1782,Plympton FC Auskick Centre
1783,Plympton PS Auskick Centre
1785,PORT GERMEIN P S
1790,Prince Alfred College (T2) Auskick Centre
1792,Pt Noarlunga FC Auskick Centre
1793,Pulteney Grammar School Auskick Centre
1795,Ramco Auskick Centre
1797,Nuriootpa FC Auskick Centre
1799,Reidy Park PS Auskick Centre
1800,Renmark FC Auskick Centre
1801,Reynella East College Auskick Centre
1802,Reynella PS Auskick Centre
1805,Robe FC Auskick Centre
1807,ROOPENA F C
1808,Rose Park PS Auskick Centre
1809,Rostrevor College Auskick Centre
1810,Roxby Downs Auskick Centre
1811,RSMU FC Auskick Centre
1812,SADDLEWORTH P S
1816,Salisbury West FC Auskick Centre
1823,Settlers Farm PS Auskick Centre
1825,SMOSH West Lakes FC Auskick Centre
1828,South Clare FC Auskick Centre
1830,South Gawler FC Auskick Centre
1831,Southern Eagles FC Auskick Centre
1841,Concordia College (St Johns Campus) Auskick Centre
1842,St Josephs PS (Hectorville) Auskick Centre
1843,St Josephs PS (Norwood) Auskick Centre
1846,St Josephs PS (Kingswood) Auskick Centre
1847,St Marks PS (Port Pirie) Auskick Centre
1848,St Martins Lutheran College Auskick Centre
1849,St Michaels College PS Auskick Centre
1851,St Peters Woodlands PS (T3) Auskick Centre
1854,Star of the Sea PS Auskick Centre
1857,Strathalbyn FC Auskick Centre
1858,West Coast Hawks FC Auskick Centre
1861,Tanunda FC Auskick Centre
1863,Tasman FC Auskick Centre
1865,Tenison Woods College Auskick Centre
1869,Trinity Blakeview PS Auskick Centre
1872,Two Wells FC Auskick Centre
1874,Unley Jets FC Auskick Centre
1875,Uraidla FC Auskick Centre
1876,Victor Harbor FC (T1) Auskick Centre
1885,West Croydon FC Auskick Centre
1887,Western Districts FC Auskick Centre
1894,Willaston FC Auskick Centre
1895,Willunga FC Auskick Centre
1901,Wisanger FC Auskick Centre
1902,Woodcroft PS Auskick Centre
1903,Woodend PS Auskick Centre
1904,Woodville Oval (T3) Auskick Centre
1906,Wudinna United FC Auskick Centre
1908,Yahl PS Auskick Centre
1909,Yankalilla FC Auskick Centre
1911,Albany Southern Districts Auskick Centre
1913,Applecross Mt Pleasant JFC Auskick Centre
1914,Armadale JFC Auskick Centre
1915,Attadale JFC Auskick Centre
1916,Augusta Karridale Auskick Centre
1917,Australind HBL Auskick Centre
1918,Baldivis North Auskick Centre
1919,Balga JFC Auskick Centre
1921,Ballajura JFC Auskick Centre
1922,Bassendean JFC Auskick Centre
1923,Bayswater JFC Auskick Centre
1928,Belmont Auskick Centre
1930,Beverley Auskick Centre
1931,Bibra Lake JFC Auskick Centre
1934,Binningup Auskick Centre
1935,Boddington Auskick Centre
1936,Booragoon JFC Auskick Centre
1938,Boxwood Hills Auskick Centre
1939,Boyanup Auskick Centre
1940,Boyup Brook Auskick Centre
1941,Bridgetown Auskick Centre
1942,Brighton Seahawks JFC Auskick Centre
1943,Brookton Auskick Centre
1944,Broome Auskick Centre
1945,Broome PCYC Auskick Centre
1947,Bruce Rock Auskick Centre
1948,Bullcreek Leeming JFC Auskick Centre
1950,Marist Auskick Centre
1953,Busselton (Saturday) Auskick Centre
1954,Calingiri Auskick Centre
1955,Canning Vale JFC Auskick Centre
1957,Mount Hawthorn Cardinals JFC Auskick Centre
1958,Carine JFC Auskick Centre
1959,Carnamah Auskick Centre
1960,Carnarvon Auskick Centre
1962,Chidlow JFC Auskick Centre
