Association Id,Association Name
1291,Oonoonba State School Auskick Centre
1292,Ormeau State School Auskick Centre
1293,Ormiston College Auskick Centre
1294,Ormiston State School Auskick Centre
1295,Our Lady Help of Christians (Earlville) Auskick Centre
1296,Our Lady of Good Counsel (Gatton) Auskick Centre
1297,Our Lady of the Rosary Primary School Auskick Centre
1300,Pacific Pines JAFC Auskick Centre
1301,Pacific Pines State School Auskick Centre
1302,Palm Beach Currumbin JAFC Auskick Centre
1303,Palm Beach State School Auskick Centre
1304,Panthers JAFC (North Rockhampton) Auskick Centre
1305,Park Ridge State School Auskick Centre
1306,Parkhurst State School Auskick Centre
1307,Patricks Road State School Auskick Centre
1308,Payne Road State School Auskick Centre
1309,Petrie State School Auskick Centre
1310,Petrie Terrace State School Auskick Centre
1311,Pialba State School Auskick Centre
1312,Pinnacle School Auskick Centre
1313,Pittsworth AFC Auskick Auskick Centre
1317,Prince of Peace Lutheran College Auskick Centre
1318,Proserpine State School Auskick Centre
1319,Proston State School Auskick Centre
1320,Pullenvale State School Auskick Centre
1321,Queens Beach State School Auskick Centre
1323,Raceview State School Auskick Centre
1326,Rainworth State School Auskick Centre
1327,Rangeville State School Auskick Centre
1329,Redcliffe JAFC Auskick Centre
1330,REDCLIFFE PCYC Auskick Centre
1331,Redcliffe (Special School) Auskick Centre
1332,Redland Bay State School Auskick Centre
1333,Victoria Point Sharks JAFC Auskick Centre
1334,Redlands College Auskick Centre
1335,Redlands (Special School) Auskick Centre
1336,Redlynch State College Auskick Centre
1338,Regent Park State School Auskick Centre
1339,Ridgelands State School Auskick Centre
1340,Rivermount College Auskick Centre
1341,Robertson State School Auskick Centre
1342,Robina State School Auskick Centre
1343,Rochedale South State School Auskick Centre
1344,Rockhampton Grammar School Auskick Centre
1347,Rosedale State School Auskick Centre
1349,Runcorn Heights State School Auskick Centre
1350,Runcorn State School Auskick Centre
1351,Russell Island State School Auskick Centre
1352,Ryan Catholic College Auskick Centre
1355,St Catherine's Catholic College Auskick Centre
1357,Samford State School Auskick Centre
1358,Sandgate JAFC Auskick Centre
1360,Sandy Strait State School Auskick Centre
1361,Sarina Magpies Auskick Centre
1362,Scarborough State School Auskick Centre
1363,Seaforth State School Auskick Centre
1364,Shailer Park State School Auskick Centre
1365,Sheldon College Auskick Centre
1366,Sherwood JAFC Auskick Centre
1368,Daisy Hill State School Auskick Centre
1369,Slade Point State School Auskick Centre
1370,Somerset Hills State School Auskick Centre
1371,South Cairns JAFC Auskick Centre
1372,Southern Cross (Frawley Campus) Auskick Centre
1373,Southport JAFC Auskick Centre
1374," Harristown Park (Souths) Auskick Centre"
1375,Southside Christian College Auskick Centre
1376,The Springfield Anglican College Auskick Centre
1377,Springwood JAFC Auskick Centre
1378,St Aidan's College Auskick Centre
1379,St Ambrose's Catholic School Auskick Centre
1381,St Andrew's Lutheran College Auskick Centre
1382,St Anthony's Catholic College Auskick Centre
1383,St Anthony's Catholic Primary School Auskick Centre
1384,St Anthonys Auskick Centre
1385,St Anthonys School Auskick Centre
1386,St Augustines Parish Primary School Auskick Centre
1387,St Bernadine's Cathloic School Auskick Centre
1388,St Brigids Catholic Primary School Auskick Centre
1389,St Edward the Confessor Auskick Centre
1390,St Elizabeth's Catholic Primary School Auskick Centre
1391,St Eugene Catholic College Auskick Centre
1392,St Flannan's Auskick Centre
1393,St Francis (QLD) Auskick Centre
1394,St Francis Xavier Auskick Centre
1395,St Francis Xavier Catholic Primary School Auskick Centre
1396,St Gerard Majella School Auskick Centre
1397,St Hilda's School Auskick Centre
1398,St Ignatius Primary School Auskick Centre
1401,St Josephs Mackay (Pro)  Auskick Centre
1403,St Josephs (Bracken Ridge) Auskick Centre
1404,St Joseph's (Ipswich) Auskick Centre
1405,St Josephs (Bardon) Auskick Centre
1406,St Joseph's (Corinda) Auskick Centre
1408,St Josephs Murgon State School Auskick Centre
1410,St Kevins Catholic School (Benowa) Auskick Centre
1412,St Margaret's Auskick Centre
1414,St Marys Bowen Auskick Centre
1415,St Marys Laidley Auskick Centre
1416,St Marys School Auskick Centre
